,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 2, 0, 1, 0, 0)",215039,257510,252281,247083,241928,236825,231784,226810,221909,217086,212344,207686,203113,198628
"Z(1, 2, 0, 1, 0, 1)",215039,257510,257346,256757,255816,254575,253082,251379,249498,247471,245323,243075,240745,238351
"Z(1, 2, 0, 1, 0, 2)",215039,257510,251632,245921,240370,234975,229729,224627,219666,214839,210143,205574,201126,196797
"Z(1, 2, 0, 1, 1, 0)",215039,257510,256417,255135,253685,252086,250354,248504,246548,244500,242370,240167,237900,235578
"Z(1, 2, 0, 1, 1, 1)",215039,257510,261250,264568,267500,270083,272345,274316,276020,277477,278709,279733,280563,281216
"Z(1, 2, 0, 1, 1, 2)",215039,257510,257544,257434,257188,256812,256315,255704,254984,254163,253246,252240,251149,249979
"Z(1, 2, 0, 1, 2, 0)",215039,257510,255579,253551,251442,249265,247029,244745,242422,240066,237684,235281,232863,230434
"Z(1, 2, 0, 1, 2, 1)",215039,257510,261378,264785,267783,270414,272714,274716,276451,277944,279216,280289,281179,281903
"Z(1, 2, 0, 1, 2, 2)",215039,257510,257642,257444,256972,256265,255356,254278,253054,251708,250258,248719,247106,245431
"Z(1, 2, 0, 1, 3, 0)",215039,257510,258237,258776,259146,259362,259440,259392,259229,258963,258602,258155,257629,257031
"Z(1, 2, 0, 1, 3, 1)",215039,257510,261850,265557,268720,271404,273667,275562,277132,278415,279444,280248,280849,281273
"Z(1, 2, 0, 1, 3, 2)",215039,257510,257918,257995,257799,257368,256740,255945,255010,253958,252807,251575,250274,248918
"Z(1, 2, 1, 0, 0, 0)",215039,257510,253859,250177,246479,242775,239074,235386,231716,228071,224455,220873,217328,213822
"Z(1, 2, 1, 0, 0, 1)",215039,257510,257385,256836,255937,254739,253290,251632,249798,247819,245719,243521,241241,238897
"Z(1, 2, 1, 0, 0, 2)",215039,257510,253694,249964,246316,242748,239258,235843,232501,229230,226028,222893,219824,216817
"Z(1, 2, 1, 0, 1, 0)",215039,257510,258160,258604,258861,258946,258874,258658,258311,257844,257265,256584,255808,254946
"Z(1, 2, 1, 0, 1, 1)",215039,257510,261300,264670,267658,270300,272624,274660,276430,277958,279261,280359,281266,281997
"Z(1, 2, 1, 0, 1, 2)",215039,257510,259787,261928,263936,265818,267576,269215,270739,272152,273458,274660,275762,276767
"Z(1, 2, 1, 0, 2, 0)",215039,257510,257306,256982,256551,256026,255417,254733,253981,253169,252304,251389,250431,249433
"Z(1, 2, 1, 0, 2, 1)",215039,257510,261425,264883,267935,270622,272981,275047,276847,278407,279749,280894,281859,282660
"Z(1, 2, 1, 0, 2, 2)",215039,257510,258946,260073,260946,261600,262070,262386,262571,262645,262626,262528,262363,262143
"Z(1, 2, 1, 0, 3, 0)",215039,257510,260263,262835,265242,267497,269614,271604,273477,275241,276906,278478,279963,281368
"Z(1, 2, 1, 0, 3, 1)",215039,257510,261898,265658,268878,271622,273950,275912,277554,278912,280020,280905,281592,282103
"Z(1, 2, 1, 0, 3, 2)",215039,257510,259330,260831,262069,263083,263912,264586,265132,265573,265927,266210,266436,266619
"Z(1, 2, 1, 1, 0, 0)",215039,257510,254741,251905,249015,246085,243125,240142,237147,234144,231139,228138,225145,222163
"Z(1, 2, 1, 1, 0, 1)",215039,257510,257380,256828,255928,254730,253284,251628,249799,247825,245732,243540,241269,238935
"Z(1, 2, 1, 1, 0, 2)",215039,257510,254910,252348,249824,247337,244887,242473,240094,237750,235440,233164,230922,228712
"Z(1, 2, 1, 1, 1, 0)",215039,257510,259102,260476,261650,262638,263454,264111,264621,264992,265235,265357,265367,265271
