,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 0, 0, 1, 3, 0)",126324,151273,146105,141178,136474,131980,127683,123570,119631,115855,112234,108760,105423,102217
"Z(2, 0, 0, 1, 3, 1)",126324,151273,143602,136456,129780,123528,117660,112142,106944,102040,97407,93024,88874,84940
"Z(2, 0, 0, 1, 3, 2)",126324,151273,144318,137783,131630,125825,120340,115149,110231,105565,101134,96921,92913,89096
"Z(2, 0, 1, 0, 0, 0)",126324,151273,146963,142838,138883,135088,131442,127934,124557,121302,118163,115132,112205,109375
"Z(2, 0, 1, 0, 0, 1)",126324,151273,144355,137928,131934,126326,121066,116119,111457,107054,102889,98942,95197,91637
"Z(2, 0, 1, 0, 0, 2)",126324,151273,148552,145949,143455,141063,138764,136553,134423,132370,130388,128474,126622,124830
"Z(2, 0, 1, 0, 1, 0)",126324,151273,147042,142990,139105,135375,131791,128343,125024,121825,118740,115763,112887,110109
"Z(2, 0, 1, 0, 1, 1)",126324,151273,146386,141726,137276,133019,128943,125035,121285,117682,114219,110886,107677,104584
"Z(2, 0, 1, 0, 1, 2)",126324,151273,151125,150959,150776,150578,150364,150137,149896,149643,149378,149101,148813,148516
"Z(2, 0, 1, 0, 2, 0)",126324,151273,147153,143202,139409,135762,132253,128874,125616,122473,119438,116505,113670,110927
"Z(2, 0, 1, 0, 2, 1)",126324,151273,143937,137100,130707,124716,119087,113786,108787,104063,99594,95359,91343,87529
"Z(2, 0, 1, 0, 2, 2)",126324,151273,145340,139733,134421,129380,124589,120026,115677,111525,107557,103761,100127,96645
"Z(2, 0, 1, 0, 3, 0)",126324,151273,146656,142243,138022,133980,130106,126390,122822,119394,116098,112928,109877,106938
"Z(2, 0, 1, 0, 3, 1)",126324,151273,143618,136489,129828,123591,117737,112233,107048,102157,97536,93165,89026,85103
"Z(2, 0, 1, 0, 3, 2)",126324,151273,144686,138487,132640,127114,121883,116923,112214,107737,103477,99419,95549,91857
"Z(2, 0, 1, 1, 0, 0)",126324,151273,147242,143377,139666,136099,132666,129357,126165,123083,120105,117225,114437,111737
"Z(2, 0, 1, 1, 0, 1)",126324,151273,144359,137935,131944,126339,121083,116139,111481,107082,102920,98977,95236,91680
"Z(2, 0, 1, 1, 0, 2)",126324,151273,148860,146553,144342,142221,140183,138222,136334,134513,132755,131056,129412,127821
