,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 2, 1, 0, 0, 0)",221677,265458,259492,253506,247541,241626,235782,230026,224370,218823,213391,208078,202887,197820
"Z(1, 2, 1, 0, 0, 1)",221677,265458,261073,256397,251543,246580,241562,236532,231521,226555,221654,216831,212096,207463
"Z(1, 2, 1, 0, 0, 2)",221677,265458,260768,256023,251256,246490,241746,237036,232374,227767,223224,218749,214346,210018
"Z(1, 2, 1, 0, 1, 0)",221677,265458,263331,260964,258405,255691,252854,249920,246909,243839,240726,237581,234416,231239
"Z(1, 2, 1, 0, 1, 1)",221677,265458,267401,269011,270321,271361,272160,272741,273126,273333,273378,273277,273042,272686
"Z(1, 2, 1, 0, 1, 2)",221677,265458,265495,265304,264915,264350,263632,262776,261800,260716,259536,258270,256928,255518
"Z(1, 2, 1, 0, 2, 0)",221677,265458,262676,259733,256672,253525,250317,247068,243796,240514,237233,233960,230705,227472
"Z(1, 2, 1, 0, 2, 1)",221677,265458,266285,266634,266600,266251,265643,264823,263827,262688,261430,260075,258641,257144
"Z(1, 2, 1, 0, 2, 2)",221677,265458,261603,257578,253460,249293,245110,240937,236796,232701,228668,224703,220814,217011
"Z(1, 2, 1, 0, 3, 0)",221677,265458,264753,263826,262721,261472,260107,258650,257118,255528,253893,252223,250528,248816
"Z(1, 2, 1, 0, 3, 1)",221677,265458,265151,264280,262981,261342,259434,257317,255038,252633,250136,247572,244960,242325
"Z(1, 2, 1, 0, 3, 2)",221677,265458,262507,259376,256142,252850,249533,246222,242937,239696,236514,233399,230360,227407
"Z(1, 2, 1, 1, 0, 0)",221677,265458,259986,254469,248950,243457,238013,232636,227338,222129,217016,212004,207096,202295
"Z(1, 2, 1, 1, 0, 1)",221677,265458,261080,256412,251567,246613,241604,236583,231581,226625,221733,216919,212194,207571
"Z(1, 2, 1, 1, 0, 2)",221677,265458,263032,260443,257729,254920,252041,249110,246143,243153,240150,237142,234136,231138
"Z(1, 2, 1, 1, 1, 0)",221677,265458,263869,262027,259980,257764,255412,252948,250394,247768,245084,242356,239594,236807
"Z(1, 2, 1, 1, 1, 1)",221677,265458,267420,269049,270379,271441,272261,272864,273272,273501,273570,273493,273282,272950
"Z(1, 2, 1, 1, 1, 2)",221677,265458,268023,270312,272353,274172,275787,277219,278480,279586,280547,281374,282076,282661
"Z(1, 2, 1, 1, 2, 0)",221677,265458,263216,260800,258251,255600,252874,250093,247275,244432,241577,238717,235861,233015
"Z(1, 2, 1, 1, 2, 1)",221677,265458,266296,266656,266635,266299,265705,264900,263920,262796,261555,260217,258800,257321
"Z(1, 2, 1, 1, 2, 2)",221677,265458,263151,260582,257842,254980,252040,249053,246044,243033,240035,237062,234122,231226
"Z(1, 2, 1, 1, 3, 0)",221677,265458,265390,265090,264603,263962,263195,262327,261375,260355,259281,258163,257011,255833
"Z(1, 2, 1, 1, 3, 1)",221677,265458,265161,264301,263014,261388,259494,257391,255127,252738,250258,247710,245116,242499
"Z(1, 2, 1, 1, 3, 2)",221677,265458,264212,262682,260955,259087,257124,255098,253038,250965,248898,246848,244827,242848
"Z(2, 0, 0, 1, 0, 0)",221677,265458,257161,249240,241667,234417,227469,220801,214396,208237,202312,196605,191105,185800
"Z(2, 0, 0, 1, 0, 1)",221677,265458,253805,242948,232798,223280,214331,205898,197933,190396,183252,176469,170021,163882
"Z(2, 0, 0, 1, 0, 2)",221677,265458,259008,252830,246902,241207,235727,230448,225357,220441,215689,211093,206643,202330
"Z(2, 0, 0, 1, 1, 0)",221677,265458,257354,249613,242208,235118,228320,221797,215530,209505,203709,198127,192748,187561
"Z(2, 0, 0, 1, 1, 1)",221677,265458,257152,249223,241641,234382,227424,220745,214329,208158,202219,196498,190984,185665
"Z(2, 0, 0, 1, 1, 2)",221677,265458,259315,253392,247677,242158,236823,231663,226669,221831,217143,212598,208187,203906
"Z(2, 0, 0, 1, 2, 0)",221677,265458,257547,249980,242732,235783,229112,222703,216539,210605,204889,199380,194065,188935
"Z(2, 0, 0, 1, 2, 1)",221677,265458,254247,243710,233779,224399,215524,207110,199122,191526,184296,177405,170831,164554
"Z(2, 0, 0, 1, 2, 2)",221677,265458,253270,241855,231136,221045,211528,202534,194021,185951,178291,171013,164090,157497
"Z(2, 0, 0, 1, 3, 0)",221677,265458,256748,248445,240520,232948,225707,218776,212136,205770,199663,193800,188168,182756
"Z(2, 0, 0, 1, 3, 1)",221677,265458,251715,238932,227006,215851,205393,195569,186324,177610,169384,161610,154254,147286
"Z(2, 0, 0, 1, 3, 2)",221677,265458,252848,241059,230008,219627,209856,200643,191943,183716,175927,168544,161540,154888
