,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 2, 1, 0)",112,112,112,112,112,112,112,112,112,112,112,112,112,112
"U(2, 2, 1, 1)",148,148,148,148,148,148,148,148,148,148,148,148,148,148
"U(2, 2, 1, 2)",1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
"U(2, 2, 2, 0)",113,113,113,113,113,113,113,113,113,113,113,113,113,113
"U(2, 2, 2, 1)",111,111,111,111,111,111,111,111,111,111,111,111,111,111
"U(2, 2, 2, 2)",1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218
"U(2, 2, 3, 0)",109,109,109,109,109,109,109,109,109,109,109,109,109,109
"U(2, 2, 3, 1)",92,92,92,92,92,92,92,92,92,92,92,92,92,92
"U(2, 2, 3, 2)",1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
"Z(0, 1, 0, 1, 0, 0)",14486,14486,14486,14486,14486,14486,14486,14486,14486,14486,14486,14486,14486,14486
"Z(0, 1, 0, 1, 0, 1)",15145,15145,15145,15145,15145,15145,15145,15145,15145,15145,15145,15145,15145,15145
"Z(0, 1, 0, 1, 0, 2)",14569,14569,14569,14569,14569,14569,14569,14569,14569,14569,14569,14569,14569,14569
"Z(0, 1, 0, 1, 1, 0)",16767,16767,16767,16767,16767,16767,16767,16767,16767,16767,16767,16767,16767,16767
"Z(0, 1, 0, 1, 1, 1)",13205,13205,13205,13205,13205,13205,13205,13205,13205,13205,13205,13205,13205,13205
"Z(0, 1, 0, 1, 1, 2)",16837,16837,16837,16837,16837,16837,16837,16837,16837,16837,16837,16837,16837,16837
"Z(0, 1, 0, 1, 2, 0)",16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234
"Z(0, 1, 0, 1, 2, 1)",14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177
"Z(0, 1, 0, 1, 2, 2)",19060,19060,19060,19060,19060,19060,19060,19060,19060,19060,19060,19060,19060,19060
"Z(0, 1, 0, 1, 3, 0)",19012,19012,19012,19012,19012,19012,19012,19012,19012,19012,19012,19012,19012,19012
"Z(0, 1, 0, 1, 3, 1)",17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573,17573
"Z(0, 1, 0, 1, 3, 2)",22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319,22319
"Z(0, 1, 1, 0, 0, 0)",14497,14497,14497,14497,14497,14497,14497,14497,14497,14497,14497,14497,14497,14497
"Z(0, 1, 1, 0, 0, 1)",15097,15097,15097,15097,15097,15097,15097,15097,15097,15097,15097,15097,15097,15097
"Z(0, 1, 1, 0, 0, 2)",14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592
"Z(0, 1, 1, 0, 1, 0)",16769,16769,16769,16769,16769,16769,16769,16769,16769,16769,16769,16769,16769,16769
"Z(0, 1, 1, 0, 1, 1)",13155,13155,13155,13155,13155,13155,13155,13155,13155,13155,13155,13155,13155,13155
"Z(0, 1, 1, 0, 1, 2)",16842,16842,16842,16842,16842,16842,16842,16842,16842,16842,16842,16842,16842,16842
"Z(0, 1, 1, 0, 2, 0)",16235,16235,16235,16235,16235,16235,16235,16235,16235,16235,16235,16235,16235,16235
"Z(0, 1, 1, 0, 2, 1)",14122,14122,14122,14122,14122,14122,14122,14122,14122,14122,14122,14122,14122,14122
"Z(0, 1, 1, 0, 2, 2)",19058,19058,19058,19058,19058,19058,19058,19058,19058,19058,19058,19058,19058,19058
"Z(0, 1, 1, 0, 3, 0)",19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028
