,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 3, 1)",14188,14188,14188,14188,14188,14188,14188,14188,14188,14188,14188,14188,14188,14188
"Z(0, 1, 1, 0, 3, 2)",19027,19027,19027,19027,19027,19027,19027,19027,19027,19027,19027,19027,19027,19027
"Z(0, 1, 1, 1, 0, 0)",12992,12992,12992,12992,12992,12992,12992,12992,12992,12992,12992,12992,12992,12992
"Z(0, 1, 1, 1, 0, 1)",11790,11790,11790,11790,11790,11790,11790,11790,11790,11790,11790,11790,11790,11790
"Z(0, 1, 1, 1, 0, 2)",11397,11397,11397,11397,11397,11397,11397,11397,11397,11397,11397,11397,11397,11397
"Z(0, 1, 1, 1, 1, 0)",16211,16211,16211,16211,16211,16211,16211,16211,16211,16211,16211,16211,16211,16211
"Z(0, 1, 1, 1, 1, 1)",11759,11759,11759,11759,11759,11759,11759,11759,11759,11759,11759,11759,11759,11759
"Z(0, 1, 1, 1, 1, 2)",14719,14719,14719,14719,14719,14719,14719,14719,14719,14719,14719,14719,14719,14719
"Z(0, 1, 1, 1, 2, 0)",15818,15818,15818,15818,15818,15818,15818,15818,15818,15818,15818,15818,15818,15818
"Z(0, 1, 1, 1, 2, 1)",11658,11658,11658,11658,11658,11658,11658,11658,11658,11658,11658,11658,11658,11658
"Z(0, 1, 1, 1, 2, 2)",16948,16948,16948,16948,16948,16948,16948,16948,16948,16948,16948,16948,16948,16948
"Z(0, 1, 1, 1, 3, 0)",18867,18867,18867,18867,18867,18867,18867,18867,18867,18867,18867,18867,18867,18867
"Z(0, 1, 1, 1, 3, 1)",14375,14375,14375,14375,14375,14375,14375,14375,14375,14375,14375,14375,14375,14375
"Z(0, 1, 1, 1, 3, 2)",20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418
"Z(0, 2, 0, 1, 0, 0)",10763,10763,10763,10763,10763,10763,10763,10763,10763,10763,10763,10763,10763,10763
"Z(0, 2, 0, 1, 0, 1)",9330,9330,9330,9330,9330,9330,9330,9330,9330,9330,9330,9330,9330,9330
"Z(0, 2, 0, 1, 0, 2)",12603,12603,12603,12603,12603,12603,12603,12603,12603,12603,12603,12603,12603,12603
"Z(0, 2, 0, 1, 1, 0)",10785,10785,10785,10785,10785,10785,10785,10785,10785,10785,10785,10785,10785,10785
"Z(0, 2, 0, 1, 1, 1)",9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760,9760
"Z(0, 2, 0, 1, 1, 2)",11602,11602,11602,11602,11602,11602,11602,11602,11602,11602,11602,11602,11602,11602
"Z(0, 2, 0, 1, 2, 0)",10839,10839,10839,10839,10839,10839,10839,10839,10839,10839,10839,10839,10839,10839
"Z(0, 2, 0, 1, 2, 1)",9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449
"Z(0, 2, 0, 1, 2, 2)",9703,9703,9703,9703,9703,9703,9703,9703,9703,9703,9703,9703,9703,9703
"Z(0, 2, 0, 1, 3, 0)",10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341
"Z(0, 2, 0, 1, 3, 1)",8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499
"Z(0, 2, 0, 1, 3, 2)",9364,9364,9364,9364,9364,9364,9364,9364,9364,9364,9364,9364,9364,9364
"Z(0, 2, 1, 0, 0, 0)",11823,11823,11823,11823,11823,11823,11823,11823,11823,11823,11823,11823,11823,11823
"Z(0, 2, 1, 0, 0, 1)",9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314
"Z(0, 2, 1, 0, 0, 2)",14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225,14225
"Z(0, 2, 1, 0, 1, 0)",11803,11803,11803,11803,11803,11803,11803,11803,11803,11803,11803,11803,11803,11803
"Z(0, 2, 1, 0, 1, 1)",9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743
"Z(0, 2, 1, 0, 1, 2)",12895,12895,12895,12895,12895,12895,12895,12895,12895,12895,12895,12895,12895,12895
"Z(0, 2, 1, 0, 2, 0)",11878,11878,11878,11878,11878,11878,11878,11878,11878,11878,11878,11878,11878,11878
"Z(0, 2, 1, 0, 2, 1)",9433,9433,9433,9433,9433,9433,9433,9433,9433,9433,9433,9433,9433,9433
"Z(0, 2, 1, 0, 2, 2)",10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289
"Z(0, 2, 1, 0, 3, 0)",11302,11302,11302,11302,11302,11302,11302,11302,11302,11302,11302,11302,11302,11302
"Z(0, 2, 1, 0, 3, 1)",8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482,8482
"Z(0, 2, 1, 0, 3, 2)",9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912,9912
"Z(0, 2, 1, 1, 0, 0)",12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570
"Z(0, 2, 1, 1, 0, 1)",9422,9422,9422,9422,9422,9422,9422,9422,9422,9422,9422,9422,9422,9422
"Z(0, 2, 1, 1, 0, 2)",15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337,15337
"Z(0, 2, 1, 1, 1, 0)",12545,12545,12545,12545,12545,12545,12545,12545,12545,12545,12545,12545,12545,12545
"Z(0, 2, 1, 1, 1, 1)",9856,9856,9856,9856,9856,9856,9856,9856,9856,9856,9856,9856,9856,9856
"Z(0, 2, 1, 1, 1, 2)",13841,13841,13841,13841,13841,13841,13841,13841,13841,13841,13841,13841,13841,13841
"Z(0, 2, 1, 1, 2, 0)",12630,12630,12630,12630,12630,12630,12630,12630,12630,12630,12630,12630,12630,12630
"Z(0, 2, 1, 1, 2, 1)",9542,9542,9542,9542,9542,9542,9542,9542,9542,9542,9542,9542,9542,9542
"Z(0, 2, 1, 1, 2, 2)",10758,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758,10758
"Z(0, 2, 1, 1, 3, 0)",12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013
"Z(0, 2, 1, 1, 3, 1)",8580,8580,8580,8580,8580,8580,8580,8580,8580,8580,8580,8580,8580,8580
"Z(0, 2, 1, 1, 3, 2)",10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358
"Z(1, 0, 0, 1, 0, 0)",11885,11885,11885,11885,11885,11885,11885,11885,11885,11885,11885,11885,11885,11885
"Z(1, 0, 0, 1, 0, 1)",13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742,13742
"Z(1, 0, 0, 1, 0, 2)",9902,9902,9902,9902,9902,9902,9902,9902,9902,9902,9902,9902,9902,9902
"Z(1, 0, 0, 1, 1, 0)",14445,14445,14445,14445,14445,14445,14445,14445,14445,14445,14445,14445,14445,14445
"Z(1, 0, 0, 1, 1, 1)",13090,13090,13090,13090,13090,13090,13090,13090,13090,13090,13090,13090,13090,13090
"Z(1, 0, 0, 1, 1, 2)",12749,12749,12749,12749,12749,12749,12749,12749,12749,12749,12749,12749,12749,12749
"Z(1, 0, 0, 1, 2, 0)",14077,14077,14077,14077,14077,14077,14077,14077,14077,14077,14077,14077,14077,14077
"Z(1, 0, 0, 1, 2, 1)",13096,13096,13096,13096,13096,13096,13096,13096,13096,13096,13096,13096,13096,13096
"Z(1, 0, 0, 1, 2, 2)",15608,15608,15608,15608,15608,15608,15608,15608,15608,15608,15608,15608,15608,15608
"Z(1, 0, 0, 1, 3, 0)",16343,16343,16343,16343,16343,16343,16343,16343,16343,16343,16343,16343,16343,16343
"Z(1, 0, 0, 1, 3, 1)",16268,16268,16268,16268,16268,16268,16268,16268,16268,16268,16268,16268,16268,16268
"Z(1, 0, 0, 1, 3, 2)",18379,18379,18379,18379,18379,18379,18379,18379,18379,18379,18379,18379,18379,18379
"Z(1, 0, 1, 0, 0, 0)",13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271
"Z(1, 0, 1, 0, 0, 1)",13722,13722,13722,13722,13722,13722,13722,13722,13722,13722,13722,13722,13722,13722
"Z(1, 0, 1, 0, 0, 2)",10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866
"Z(1, 0, 1, 0, 1, 0)",16070,16070,16070,16070,16070,16070,16070,16070,16070,16070,16070,16070,16070,16070
"Z(1, 0, 1, 0, 1, 1)",13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065
"Z(1, 0, 1, 0, 1, 2)",14110,14110,14110,14110,14110,14110,14110,14110,14110,14110,14110,14110,14110,14110
"Z(1, 0, 1, 0, 2, 0)",15653,15653,15653,15653,15653,15653,15653,15653,15653,15653,15653,15653,15653,15653
"Z(1, 0, 1, 0, 2, 1)",13070,13070,13070,13070,13070,13070,13070,13070,13070,13070,13070,13070,13070,13070
"Z(1, 0, 1, 0, 2, 2)",17193,17193,17193,17193,17193,17193,17193,17193,17193,17193,17193,17193,17193,17193
"Z(1, 0, 1, 0, 3, 0)",18470,18470,18470,18470,18470,18470,18470,18470,18470,18470,18470,18470,18470,18470
"Z(1, 0, 1, 0, 3, 1)",16245,16245,16245,16245,16245,16245,16245,16245,16245,16245,16245,16245,16245,16245
"Z(1, 0, 1, 0, 3, 2)",20539,20539,20539,20539,20539,20539,20539,20539,20539,20539,20539,20539,20539,20539
"Z(1, 0, 1, 1, 0, 0)",14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028,14028
"Z(1, 0, 1, 1, 0, 1)",13878,13878,13878,13878,13878,13878,13878,13878,13878,13878,13878,13878,13878,13878
"Z(1, 0, 1, 1, 0, 2)",11581,11581,11581,11581,11581,11581,11581,11581,11581,11581,11581,11581,11581,11581
"Z(1, 0, 1, 1, 1, 0)",17167,17167,17167,17167,17167,17167,17167,17167,17167,17167,17167,17167,17167,17167
"Z(1, 0, 1, 1, 1, 1)",13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222
"Z(1, 0, 1, 1, 1, 2)",15089,15089,15089,15089,15089,15089,15089,15089,15089,15089,15089,15089,15089,15089
"Z(1, 0, 1, 1, 2, 0)",16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727
"Z(1, 0, 1, 1, 2, 1)",13226,13226,13226,13226,13226,13226,13226,13226,13226,13226,13226,13226,13226,13226
"Z(1, 0, 1, 1, 2, 2)",18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330,18330
"Z(1, 0, 1, 1, 3, 0)",19875,19875,19875,19875,19875,19875,19875,19875,19875,19875,19875,19875,19875,19875
"Z(1, 0, 1, 1, 3, 1)",16445,16445,16445,16445,16445,16445,16445,16445,16445,16445,16445,16445,16445,16445
"Z(1, 0, 1, 1, 3, 2)",22034,22034,22034,22034,22034,22034,22034,22034,22034,22034,22034,22034,22034,22034
"Z(1, 1, 0, 1, 0, 0)",13221,13221,13221,13221,13221,13221,13221,13221,13221,13221,13221,13221,13221,13221
"Z(1, 1, 0, 1, 0, 1)",21269,21269,21269,21269,21269,21269,21269,21269,21269,21269,21269,21269,21269,21269
"Z(1, 1, 0, 1, 0, 2)",10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289,10289
"Z(1, 1, 0, 1, 1, 0)",16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802
"Z(1, 1, 0, 1, 1, 1)",23114,23114,23114,23114,23114,23114,23114,23114,23114,23114,23114,23114,23114,23114
"Z(1, 1, 0, 1, 1, 2)",14472,14472,14472,14472,14472,14472,14472,14472,14472,14472,14472,14472,14472,14472
"Z(1, 1, 0, 1, 2, 0)",16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336,16336
"Z(1, 1, 0, 1, 2, 1)",23974,23974,23974,23974,23974,23974,23974,23974,23974,23974,23974,23974,23974,23974
"Z(1, 1, 0, 1, 2, 2)",19685,19685,19685,19685,19685,19685,19685,19685,19685,19685,19685,19685,19685,19685
"Z(1, 1, 0, 1, 3, 0)",19622,19622,19622,19622,19622,19622,19622,19622,19622,19622,19622,19622,19622,19622
"Z(1, 1, 0, 1, 3, 1)",33823,33823,33823,33823,33823,33823,33823,33823,33823,33823,33823,33823,33823,33823
"Z(1, 1, 0, 1, 3, 2)",24074,24074,24074,24074,24074,24074,24074,24074,24074,24074,24074,24074,24074,24074
"Z(1, 1, 1, 0, 0, 0)",14578,14578,14578,14578,14578,14578,14578,14578,14578,14578,14578,14578,14578,14578
"Z(1, 1, 1, 0, 0, 1)",21227,21227,21227,21227,21227,21227,21227,21227,21227,21227,21227,21227,21227,21227
"Z(1, 1, 1, 0, 0, 2)",11442,11442,11442,11442,11442,11442,11442,11442,11442,11442,11442,11442,11442,11442
"Z(1, 1, 1, 0, 1, 0)",18642,18642,18642,18642,18642,18642,18642,18642,18642,18642,18642,18642,18642,18642
"Z(1, 1, 1, 0, 1, 1)",23078,23078,23078,23078,23078,23078,23078,23078,23078,23078,23078,23078,23078,23078
"Z(1, 1, 1, 0, 1, 2)",17006,17006,17006,17006,17006,17006,17006,17006,17006,17006,17006,17006,17006,17006
"Z(1, 1, 1, 0, 2, 0)",18126,18126,18126,18126,18126,18126,18126,18126,18126,18126,18126,18126,18126,18126
"Z(1, 1, 1, 0, 2, 1)",23935,23935,23935,23935,23935,23935,23935,23935,23935,23935,23935,23935,23935,23935
"Z(1, 1, 1, 0, 2, 2)",24707,24707,24707,24707,24707,24707,24707,24707,24707,24707,24707,24707,24707,24707
"Z(1, 1, 1, 0, 3, 0)",22133,22133,22133,22133,22133,22133,22133,22133,22133,22133,22133,22133,22133,22133
