,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 1, 0, 0, 1)",4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705
"Z(0, 2, 1, 0, 0, 2)",6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529
"Z(0, 2, 1, 0, 1, 0)",5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922
"Z(0, 2, 1, 0, 1, 1)",5753,5753,5753,5753,5753,5753,5753,5753,5753,5753,5753,5753,5753,5753
"Z(0, 2, 1, 0, 1, 2)",7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818
"Z(0, 2, 1, 0, 2, 0)",5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980
"Z(0, 2, 1, 0, 2, 1)",4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608,4608
"Z(0, 2, 1, 0, 2, 2)",5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181,5181
"Z(0, 2, 1, 0, 3, 0)",5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660
"Z(0, 2, 1, 0, 3, 1)",4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447
"Z(0, 2, 1, 0, 3, 2)",4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623,4623
"Z(0, 2, 1, 1, 0, 0)",6112,6112,6112,6112,6112,6112,6112,6112,6112,6112,6112,6112,6112,6112
"Z(0, 2, 1, 1, 0, 1)",4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4764
"Z(0, 2, 1, 1, 0, 2)",6777,6777,6777,6777,6777,6777,6777,6777,6777,6777,6777,6777,6777,6777
"Z(0, 2, 1, 1, 1, 0)",6137,6137,6137,6137,6137,6137,6137,6137,6137,6137,6137,6137,6137,6137
"Z(0, 2, 1, 1, 1, 1)",5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832
"Z(0, 2, 1, 1, 1, 2)",8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185,8185
"Z(0, 2, 1, 1, 2, 0)",6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
"Z(0, 2, 1, 1, 2, 1)",4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666
"Z(0, 2, 1, 1, 2, 2)",5334,5334,5334,5334,5334,5334,5334,5334,5334,5334,5334,5334,5334,5334
"Z(0, 2, 1, 1, 3, 0)",5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865
"Z(0, 2, 1, 1, 3, 1)",4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503
"Z(0, 2, 1, 1, 3, 2)",4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755
"Z(1, 0, 0, 1, 0, 0)",7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060
"Z(1, 0, 0, 1, 0, 1)",7590,7590,7590,7590,7590,7590,7590,7590,7590,7590,7590,7590,7590,7590
"Z(1, 0, 0, 1, 0, 2)",7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538
"Z(1, 0, 0, 1, 1, 0)",8458,8458,8458,8458,8458,8458,8458,8458,8458,8458,8458,8458,8458,8458
"Z(1, 0, 0, 1, 1, 1)",6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753
