,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 0, 1, 0, 2)",6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008
"Z(0, 1, 0, 1, 1, 0)",7835,7835,7835,7835,7835,7835,7835,7835,7835,7835,7835,7835,7835,7835
"Z(0, 1, 0, 1, 1, 1)",6934,6934,6934,6934,6934,6934,6934,6934,6934,6934,6934,6934,6934,6934
"Z(0, 1, 0, 1, 1, 2)",7507,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507,7507
"Z(0, 1, 0, 1, 2, 0)",7640,7640,7640,7640,7640,7640,7640,7640,7640,7640,7640,7640,7640,7640
"Z(0, 1, 0, 1, 2, 1)",7226,7226,7226,7226,7226,7226,7226,7226,7226,7226,7226,7226,7226,7226
"Z(0, 1, 0, 1, 2, 2)",8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112
"Z(0, 1, 0, 1, 3, 0)",8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974
"Z(0, 1, 0, 1, 3, 1)",8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444
"Z(0, 1, 0, 1, 3, 2)",10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051
"Z(0, 1, 1, 0, 0, 0)",6740,6740,6740,6740,6740,6740,6740,6740,6740,6740,6740,6740,6740,6740
"Z(0, 1, 1, 0, 0, 1)",6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804
"Z(0, 1, 1, 0, 0, 2)",6348,6348,6348,6348,6348,6348,6348,6348,6348,6348,6348,6348,6348,6348
"Z(0, 1, 1, 0, 1, 0)",8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322
"Z(0, 1, 1, 0, 1, 1)",6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926
"Z(0, 1, 1, 0, 1, 2)",7973,7973,7973,7973,7973,7973,7973,7973,7973,7973,7973,7973,7973,7973
"Z(0, 1, 1, 0, 2, 0)",8114,8114,8114,8114,8114,8114,8114,8114,8114,8114,8114,8114,8114,8114
"Z(0, 1, 1, 0, 2, 1)",7217,7217,7217,7217,7217,7217,7217,7217,7217,7217,7217,7217,7217,7217
"Z(0, 1, 1, 0, 2, 2)",8618,8618,8618,8618,8618,8618,8618,8618,8618,8618,8618,8618,8618,8618
"Z(0, 1, 1, 0, 3, 0)",9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603
"Z(0, 1, 1, 0, 3, 1)",8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440
"Z(0, 1, 1, 0, 3, 2)",10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749
"Z(0, 1, 1, 1, 0, 0)",7649,7649,7649,7649,7649,7649,7649,7649,7649,7649,7649,7649,7649,7649
"Z(0, 1, 1, 1, 0, 1)",6897,6897,6897,6897,6897,6897,6897,6897,6897,6897,6897,6897,6897,6897
"Z(0, 1, 1, 1, 0, 2)",7292,7292,7292,7292,7292,7292,7292,7292,7292,7292,7292,7292,7292,7292
"Z(0, 1, 1, 1, 1, 0)",9545,9545,9545,9545,9545,9545,9545,9545,9545,9545,9545,9545,9545,9545
"Z(0, 1, 1, 1, 1, 1)",7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026,7026
"Z(0, 1, 1, 1, 1, 2)",9199,9199,9199,9199,9199,9199,9199,9199,9199,9199,9199,9199,9199,9199
"Z(0, 1, 1, 1, 2, 0)",9308,9308,9308,9308,9308,9308,9308,9308,9308,9308,9308,9308,9308,9308
"Z(0, 1, 1, 1, 2, 1)",7320,7320,7320,7320,7320,7320,7320,7320,7320,7320,7320,7320,7320,7320
"Z(0, 1, 1, 1, 2, 2)",9928,9928,9928,9928,9928,9928,9928,9928,9928,9928,9928,9928,9928,9928
"Z(0, 1, 1, 1, 3, 0)",11203,11203,11203,11203,11203,11203,11203,11203,11203,11203,11203,11203,11203,11203
"Z(0, 1, 1, 1, 3, 1)",8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569
"Z(0, 1, 1, 1, 3, 2)",12577,12577,12577,12577,12577,12577,12577,12577,12577,12577,12577,12577,12577,12577
"Z(0, 2, 0, 1, 0, 0)",6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498,6498
"Z(0, 2, 0, 1, 0, 1)",5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706,5706
"Z(0, 2, 0, 1, 0, 2)",7641,7641,7641,7641,7641,7641,7641,7641,7641,7641,7641,7641,7641,7641
"Z(0, 2, 0, 1, 1, 0)",6471,6471,6471,6471,6471,6471,6471,6471,6471,6471,6471,6471,6471,6471
"Z(0, 2, 0, 1, 1, 1)",6027,6027,6027,6027,6027,6027,6027,6027,6027,6027,6027,6027,6027,6027
"Z(0, 2, 0, 1, 1, 2)",7411,7411,7411,7411,7411,7411,7411,7411,7411,7411,7411,7411,7411,7411
"Z(0, 2, 0, 1, 2, 0)",6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512
"Z(0, 2, 0, 1, 2, 1)",5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624
"Z(0, 2, 0, 1, 2, 2)",6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564
"Z(0, 2, 0, 1, 3, 0)",6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159
"Z(0, 2, 0, 1, 3, 1)",5316,5316,5316,5316,5316,5316,5316,5316,5316,5316,5316,5316,5316,5316
"Z(0, 2, 0, 1, 3, 2)",5939,5939,5939,5939,5939,5939,5939,5939,5939,5939,5939,5939,5939,5939
"Z(0, 2, 1, 0, 0, 0)",6864,6864,6864,6864,6864,6864,6864,6864,6864,6864,6864,6864,6864,6864
"Z(0, 2, 1, 0, 0, 1)",5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694
"Z(0, 2, 1, 0, 0, 2)",8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175
"Z(0, 2, 1, 0, 1, 0)",6826,6826,6826,6826,6826,6826,6826,6826,6826,6826,6826,6826,6826,6826
"Z(0, 2, 1, 0, 1, 1)",6015,6015,6015,6015,6015,6015,6015,6015,6015,6015,6015,6015,6015,6015
"Z(0, 2, 1, 0, 1, 2)",7901,7901,7901,7901,7901,7901,7901,7901,7901,7901,7901,7901,7901,7901
"Z(0, 2, 1, 0, 2, 0)",6873,6873,6873,6873,6873,6873,6873,6873,6873,6873,6873,6873,6873,6873
"Z(0, 2, 1, 0, 2, 1)",5612,5612,5612,5612,5612,5612,5612,5612,5612,5612,5612,5612,5612,5612
"Z(0, 2, 1, 0, 2, 2)",6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928
"Z(0, 2, 1, 0, 3, 0)",6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488
"Z(0, 2, 1, 0, 3, 1)",5304,5304,5304,5304,5304,5304,5304,5304,5304,5304,5304,5304,5304,5304
"Z(0, 2, 1, 0, 3, 2)",6218,6218,6218,6218,6218,6218,6218,6218,6218,6218,6218,6218,6218,6218
"Z(0, 2, 1, 1, 0, 0)",7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841
"Z(0, 2, 1, 1, 0, 1)",5774,5774,5774,5774,5774,5774,5774,5774,5774,5774,5774,5774,5774,5774
"Z(0, 2, 1, 1, 0, 2)",9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602,9602
"Z(0, 2, 1, 1, 1, 0)",7784,7784,7784,7784,7784,7784,7784,7784,7784,7784,7784,7784,7784,7784
"Z(0, 2, 1, 1, 1, 1)",6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099
"Z(0, 2, 1, 1, 1, 2)",9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235
"Z(0, 2, 1, 1, 2, 0)",7845,7845,7845,7845,7845,7845,7845,7845,7845,7845,7845,7845,7845,7845
"Z(0, 2, 1, 1, 2, 1)",5691,5691,5691,5691,5691,5691,5691,5691,5691,5691,5691,5691,5691,5691
"Z(0, 2, 1, 1, 2, 2)",7890,7890,7890,7890,7890,7890,7890,7890,7890,7890,7890,7890,7890,7890
"Z(0, 2, 1, 1, 3, 0)",7392,7392,7392,7392,7392,7392,7392,7392,7392,7392,7392,7392,7392,7392
"Z(0, 2, 1, 1, 3, 1)",5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377,5377
"Z(0, 2, 1, 1, 3, 2)",6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968
"Z(1, 0, 0, 1, 0, 0)",6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488
"Z(1, 0, 0, 1, 0, 1)",7533,7533,7533,7533,7533,7533,7533,7533,7533,7533,7533,7533,7533,7533
"Z(1, 0, 0, 1, 0, 2)",5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573
"Z(1, 0, 0, 1, 1, 0)",7927,7927,7927,7927,7927,7927,7927,7927,7927,7927,7927,7927,7927,7927
"Z(1, 0, 0, 1, 1, 1)",7384,7384,7384,7384,7384,7384,7384,7384,7384,7384,7384,7384,7384,7384
"Z(1, 0, 0, 1, 1, 2)",7195,7195,7195,7195,7195,7195,7195,7195,7195,7195,7195,7195,7195,7195
"Z(1, 0, 0, 1, 2, 0)",7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725
"Z(1, 0, 0, 1, 2, 1)",7807,7807,7807,7807,7807,7807,7807,7807,7807,7807,7807,7807,7807,7807
