,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 0, 1, 0)",122542,52004,50825,49679,48562,47475,46417,45387,44385,43409,42459,41534,40633,39757,38904
"U(2, 0, 1, 1)",122542,66574,65513,64483,63482,62508,61561,60638,59739,58863,58008,57174,56360,55566,54789
"U(2, 0, 1, 2)",122542,77435,76471,75515,74568,73631,72702,71782,70871,69969,69077,68193,67319,66453,65597
"U(2, 0, 2, 0)",122542,35741,34318,32973,31697,30486,29334,28238,27192,26194,25242,24331,23460,22627,21830
"U(2, 0, 2, 1)",122542,40209,38843,37544,36304,35119,33986,32900,31860,30861,29902,28981,28095,27242,26422
"U(2, 0, 2, 2)",122542,42466,41151,39885,38666,37490,36356,35262,34206,33185,32200,31247,30325,29434,28572
"U(2, 0, 3, 0)",122542,41394,40053,38775,37554,36388,35273,34206,33183,32203,31263,30362,29496,28664,27865
"U(2, 0, 3, 1)",122542,44666,43376,42138,40949,39806,38707,37650,36631,35649,34703,33790,32910,32060,31239
"U(2, 0, 3, 2)",122542,38202,36820,35505,34251,33054,31910,30816,29768,28765,27803,26881,25996,25146,24330
"U(2, 1, 0, 0)",122542,61786,60696,59622,58565,57525,56502,55495,54506,53533,52577,51638,50715,49808,48918
"U(2, 1, 0, 1)",122542,125647,125220,124766,124290,123793,123277,122745,122197,121635,121060,120473,119875,119268,118651
"U(2, 1, 0, 2)",122542,33215,31711,30307,28994,27768,26620,25547,24542,23600,22718,21890,21113,20384,19698
"U(2, 1, 1, 0)",122542,81376,80453,79527,78598,77668,76736,75805,74874,73944,73017,72091,71169,70250,69335
"U(2, 1, 1, 1)",122542,152446,152332,152205,152066,151915,151752,151579,151396,151202,150998,150784,150561,150328,150086
"U(2, 1, 1, 2)",122542,31985,30475,29063,27742,26505,25347,24262,23245,22292,21397,20558,19771,19031,18335
"U(2, 1, 2, 0)",122542,55985,54751,53570,52438,51350,50304,49295,48322,47381,46471,45590,44736,43907,43102
"U(2, 1, 2, 1)",122542,81282,80432,79607,78806,78029,77276,76545,75836,75148,74480,73831,73201,72588,71993
"U(2, 1, 2, 2)",122542,28272,26754,25328,23986,22725,21539,20424,19375,18389,17461,16588,15766,14992,14264
"U(2, 1, 3, 0)",122542,57754,56613,55507,54435,53395,52387,51409,50460,49538,48643,47774,46929,46108,45309
"U(2, 1, 3, 1)",122542,95553,94950,94343,93734,93127,92522,91922,91326,90735,90152,89575,89007,88446,87893
"U(2, 1, 3, 2)",122542,31727,30276,28903,27606,26380,25223,24129,23096,22119,21197,20326,19502,18723,17987
"U(2, 2, 0, 0)",122542,58862,57715,56593,55495,54420,53367,52336,51327,50338,49370,48421,47491,46580,45687
"U(2, 2, 0, 1)",122542,70748,69713,68702,67715,66749,65804,64878,63970,63080,62207,61350,60509,59683,58871
"U(2, 2, 0, 2)",122542,120857,120396,119924,119444,118956,118460,117956,117447,116931,116409,115882,115350,114814,114274
"U(2, 2, 1, 0)",122542,47820,46574,45364,44189,43048,41939,40862,39816,38798,37810,36849,35915,35006,34123
"U(2, 2, 1, 1)",122542,63473,62364,61287,60240,59222,58231,57266,56325,55408,54513,53640,52787,51954,51139
"U(2, 2, 1, 2)",122542,79925,78992,78067,77149,76238,75336,74441,73555,72676,71806,70944,70090,69244,68407
"U(2, 2, 2, 0)",122542,35025,33589,32232,30946,29726,28566,27461,26408,25404,24445,23528,22652,21814,21011
"U(2, 2, 2, 1)",122542,38484,37097,35780,34527,33333,32193,31103,30061,29062,28105,27187,26307,25461,24649
"U(2, 2, 2, 2)",122542,39918,38570,37277,36037,34845,33700,32598,31537,30515,29530,28581,27665,26782,25930
"U(2, 2, 3, 0)",122542,39358,37987,36682,35438,34252,33118,32035,30998,30005,29053,28141,27265,26425,25618
"U(2, 2, 3, 1)",122542,40764,39421,38138,36911,35735,34609,33528,32490,31493,30535,29613,28726,27872,27050
"U(2, 2, 3, 2)",122542,34956,33533,32184,30901,29681,28518,27408,26349,25336,24368,23441,22554,21704,20890
"Z(0, 1, 0, 1, 0, 0)",122542,87885,87413,86969,86554,86167,85808,85477,85175,84899,84651,84430,84235,84066,83923
"Z(0, 1, 0, 1, 0, 1)",122542,106813,106327,105827,105315,104793,104262,103726,103184,102638,102090,101540,100990,100441,99892
"Z(0, 1, 0, 1, 0, 2)",122542,73119,72173,71244,70332,69436,68557,67693,66845,66013,65197,64396,63609,62838,62081
"Z(0, 1, 0, 1, 1, 0)",122542,84496,83806,83123,82448,81782,81124,80477,79839,79212,78595,77990,77397,76815,76245
"Z(0, 1, 0, 1, 1, 1)",122542,133528,133176,132813,132440,132056,131663,131259,130847,130425,129995,129556,129109,128654,128192
"Z(0, 1, 0, 1, 1, 2)",122542,113704,113124,112533,111932,111321,110701,110073,109437,108794,108144,107488,106826,106160,105489
"Z(0, 1, 0, 1, 2, 0)",122542,75629,74704,73789,72885,71992,71110,70239,69379,68530,67693,66866,66052,65249,64457
"Z(0, 1, 0, 1, 2, 1)",122542,139556,139274,138972,138649,138308,137950,137574,137184,136778,136359,135926,135481,135024,134555
"Z(0, 1, 0, 1, 2, 2)",122542,140011,139674,139319,138947,138558,138152,137730,137292,136840,136372,135891,135397,134889,134368
"Z(0, 1, 0, 1, 3, 0)",122542,105060,104362,103651,102930,102198,101457,100707,99949,99184,98412,97635,96853,96066,95275
"Z(0, 1, 0, 1, 3, 1)",122542,243208,244292,245341,246353,247330,248273,249183,250061,250906,251720,252504,253257,253982,254678
"Z(0, 1, 0, 1, 3, 2)",122542,269886,271228,272525,273780,274992,276162,277291,278380,279429,280439,281410,282344,283240,284100
"Z(0, 1, 1, 0, 0, 0)",122542,168699,169492,170297,171114,171944,172788,173645,174517,175405,176308,177227,178161,179112,180079
"Z(0, 1, 1, 0, 0, 1)",122542,115064,114746,114416,114076,113728,113374,113015,112652,112287,111922,111556,111192,110830,110471
"Z(0, 1, 1, 0, 0, 2)",122542,61736,60658,59604,58575,57570,56587,55627,54690,53773,52878,52004,51149,50314,49499
"Z(0, 1, 1, 0, 1, 0)",122542,171452,172010,172561,173103,173639,174168,174691,175210,175724,176235,176743,177248,177753,178256
"Z(0, 1, 1, 0, 1, 1)",122542,143298,143129,142950,142763,142567,142363,142151,141931,141704,141469,141227,140979,140725,140464
"Z(0, 1, 1, 0, 1, 2)",122542,94030,93249,92465,91679,90890,90101,89310,88519,87727,86937,86147,85358,84571,83786
"Z(0, 1, 1, 0, 2, 0)",122542,148252,148219,148175,148122,148059,147988,147909,147822,147727,147626,147518,147405,147285,147161
"Z(0, 1, 1, 0, 2, 1)",122542,148894,148771,148628,148466,148287,148091,147880,147654,147414,147161,146895,146618,146330,146031
"Z(0, 1, 1, 0, 2, 2)",122542,114398,113795,113181,112558,111925,111284,110634,109976,109311,108638,107960,107275,106584,105889
"Z(0, 1, 1, 0, 3, 0)",122542,228360,229125,229854,230550,231212,231840,232436,233000,233532,234033,234503,234943,235354,235736
"Z(0, 1, 1, 0, 3, 1)",122542,263451,264916,266348,267747,269114,270450,271756,273032,274279,275498,276688,277852,278988,280098
"Z(0, 1, 1, 0, 3, 2)",122542,210241,210792,211304,211779,212217,212620,212988,213323,213625,213896,214136,214346,214526,214679
"Z(0, 1, 1, 1, 0, 0)",122542,154418,154603,154771,154925,155065,155192,155307,155412,155507,155594,155673,155746,155812,155874
"Z(0, 1, 1, 1, 0, 1)",122542,109004,108466,107913,107345,106765,106174,105574,104967,104353,103734,103111,102484,101855,101225
"Z(0, 1, 1, 1, 0, 2)",122542,99043,98361,97684,97011,96344,95681,95024,94371,93723,93081,92443,91811,91184,90562
"Z(0, 1, 1, 1, 1, 0)",122542,227272,228060,228811,229527,230208,230855,231467,232047,232594,233109,233593,234047,234472,234867
"Z(0, 1, 1, 1, 1, 1)",122542,146976,146790,146593,146385,146165,145935,145694,145442,145180,144907,144625,144333,144031,143720
"Z(0, 1, 1, 1, 1, 2)",122542,176331,176473,176592,176689,176765,176820,176855,176869,176863,176838,176794,176732,176651,176552
"Z(0, 1, 1, 1, 2, 0)",122542,232911,233695,234443,235156,235834,236479,237089,237666,238210,238722,239202,239650,240068,240455
"Z(0, 1, 1, 1, 2, 1)",122542,157001,156991,156960,156911,156843,156759,156658,156542,156410,156265,156107,155936,155752,155557
"Z(0, 1, 1, 1, 2, 2)",122542,223936,224702,225441,226152,226836,227494,228125,228729,229308,229860,230387,230888,231364,231815
"Z(0, 1, 1, 1, 3, 0)",122542,422268,425705,429092,432431,435719,438957,442144,445280,448364,451397,454378,457308,460185,463010
"Z(0, 1, 1, 1, 3, 1)",122542,286944,288903,290833,292735,294611,296460,298284,300083,301858,303608,305336,307040,308721,310380
"Z(0, 1, 1, 1, 3, 2)",122542,512371,518075,523759,529425,535072,540699,546307,551895,557463,563011,568539,574045,579531,584995
"Z(0, 2, 0, 1, 0, 0)",122542,49580,48369,47192,46048,44938,43859,42810,41791,40800,39838,38902,37993,37108,36249
"Z(0, 2, 0, 1, 0, 1)",122542,67441,66385,65357,64356,63379,62426,61497,60589,59702,58836,57988,57160,56349,55556
"Z(0, 2, 0, 1, 0, 2)",122542,138860,138654,138444,138230,138011,137788,137561,137330,137095,136855,136612,136365,136113,135858
"Z(0, 2, 0, 1, 1, 0)",122542,50039,48823,47637,46482,45356,44258,43188,42145,41128,40137,39171,38229,37311,36416
"Z(0, 2, 0, 1, 1, 1)",122542,79595,78665,77749,76844,75951,75070,74200,73342,72495,71658,70833,70018,69214,68420
"Z(0, 2, 0, 1, 1, 2)",122542,122198,121742,121283,120818,120350,119878,119402,118923,118440,117954,117465,116973,116477,115979
"Z(0, 2, 0, 1, 2, 0)",122542,50289,49074,47890,46735,45609,44511,43441,42397,41379,40387,39419,38476,37555,36658
"Z(0, 2, 0, 1, 2, 1)",122542,67734,66685,65659,64656,63675,62715,61774,60854,59952,59069,58203,57355,56523,55708
"Z(0, 2, 0, 1, 2, 2)",122542,82481,81573,80674,79784,78903,78031,77168,76314,75469,74632,73804,72985,72174,71371
"Z(0, 2, 0, 1, 3, 0)",122542,45379,44118,42894,41707,40555,39438,38354,37302,36282,35292,34331,33398,32493,31614
