,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 0, 2)",126324,89331,89710,90008,90232,90391,90489,90526,90513,90451,90346,90201,90018,89802,89553
"Z(0, 1, 1, 0, 1, 0)",126324,423808,432207,440584,448943,457295,465638,473956,482275,490580,498887,507192,515497,523807,532109
"Z(0, 1, 1, 0, 1, 1)",126324,85495,84036,82638,81294,80000,78751,77541,76368,75229,74122,73045,71996,70974,69975
"Z(0, 1, 1, 0, 1, 2)",126324,90080,90573,91036,91470,91876,92256,92605,92930,93228,93502,93753,93980,94186,94369
"Z(0, 1, 1, 0, 2, 0)",126324,226128,230204,234285,238373,242475,246590,250712,254854,259010,263188,267387,271608,275855,280121
"Z(0, 1, 1, 0, 2, 1)",126324,89103,90010,90606,90948,91083,91044,90856,90542,90119,89603,89006,88339,87612,86830
"Z(0, 1, 1, 0, 2, 2)",126324,110798,111456,112110,112987,113776,114478,115097,115642,116113,116518,116935,117533,118057,118507
"Z(0, 1, 1, 0, 3, 0)",126324,323933,328332,332699,337039,341366,345677,349966,354254,358533,362816,367103,371398,375707,380022
"Z(0, 1, 1, 0, 3, 1)",126324,93604,94265,94799,95322,96256,97037,97682,98208,98625,98946,99179,99332,99413,99424
"Z(0, 1, 1, 0, 3, 2)",126324,197316,198654,199924,201130,202280,203374,204430,205494,206505,207472,208394,209275,210148,211044
"Z(0, 1, 1, 1, 0, 0)",126324,104116,104794,105406,105953,106638,107342,107978,108554,109069,109527,109931,110345,110882,111360
"Z(0, 1, 1, 1, 0, 1)",126324,89440,90682,91540,92085,92371,92437,92313,92031,91608,91067,90422,89687,88874,87992
"Z(0, 1, 1, 1, 0, 2)",126324,89749,90256,90691,91058,91365,91615,91809,91957,92057,92117,92139,92124,92077,91998
"Z(0, 1, 1, 1, 1, 0)",126324,151953,153007,153985,154890,155728,156500,157416,158301,159121,159882,160583,161229,161820,162525
"Z(0, 1, 1, 1, 1, 1)",126324,85522,84069,82678,81342,80058,78819,77619,76458,75331,74237,73173,72138,71130,70146
