,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 2, 0)",6018,5819,5633,5459,5296,5145,5003,4869,4743,4625,4513,4407,4307,4212
"Z(0, 1, 1, 0, 2, 1)",3561,3404,3256,3118,2990,2869,2755,2648,2547,2451,2361,2276,2194,2117
"Z(0, 1, 1, 0, 2, 2)",26049,25242,24483,23768,23098,22466,21869,21302,20764,20253,19767,19302,18857,18435
"Z(0, 1, 1, 0, 3, 0)",8831,8505,8199,7912,7643,7391,7153,6928,6715,6513,6322,6140,5967,5803
"Z(0, 1, 1, 0, 3, 1)",7126,6833,6559,6301,6059,5832,5618,5416,5224,5042,4870,4706,4550,4402
"Z(0, 1, 1, 0, 3, 2)",37448,38113,38670,39138,39539,39882,40176,40425,40634,40813,40964,41088,41187,41274
"Z(0, 1, 1, 1, 0, 0)",2856,2749,2649,2555,2468,2387,2310,2239,2171,2107,2047,1990,1936,1885
"Z(0, 1, 1, 1, 0, 1)",2221,2111,2008,1913,1823,1740,1662,1589,1519,1454,1393,1335,1280,1229
"Z(0, 1, 1, 1, 0, 2)",14350,13870,13420,12996,12598,12224,11870,11535,11217,10916,10629,10356,10094,9846
"Z(0, 1, 1, 1, 1, 0)",4403,4216,4041,3877,3724,3581,3446,3319,3199,3085,2978,2876,2780,2689
"Z(0, 1, 1, 1, 1, 1)",3290,3139,2997,2864,2740,2623,2513,2410,2312,2220,2133,2050,1972,1897
"Z(0, 1, 1, 1, 1, 2)",26875,26053,25279,24551,23867,23223,22614,22036,21486,20965,20468,19993,19538,19106
"Z(0, 1, 1, 1, 2, 0)",5015,4798,4595,4404,4226,4058,3901,3752,3611,3478,3352,3233,3119,3011
"Z(0, 1, 1, 1, 2, 1)",3534,3373,3223,3082,2950,2827,2711,2601,2497,2399,2307,2219,2135,2056
"Z(0, 1, 1, 1, 2, 2)",31024,30104,29238,28423,27659,26939,26258,25613,24999,24417,23863,23333,22825,22344
"Z(0, 1, 1, 1, 3, 0)",9818,9437,9080,8744,8429,8132,7852,7586,7334,7095,6868,6652,6445,6249
"Z(0, 1, 1, 1, 3, 1)",7283,6984,6703,6439,6192,5960,5741,5534,5337,5152,4975,4807,4647,4495
"Z(0, 1, 1, 1, 3, 2)",38110,38848,39478,40019,40494,40910,41278,41599,41881,42133,42356,42552,42722,42881
"Z(0, 2, 0, 1, 0, 0)",1310,1256,1206,1159,1115,1074,1036,1000,966,935,905,877,850,825
"Z(0, 2, 0, 1, 0, 1)",569,541,514,489,466,444,424,405,387,371,355,340,326,313
"Z(0, 2, 0, 1, 0, 2)",4167,4016,3875,3743,3618,3502,3392,3288,3189,3096,3007,2922,2842,2765
"Z(0, 2, 0, 1, 1, 0)",849,807,768,732,699,667,638,611,585,561,538,516,496,477
"Z(0, 2, 0, 1, 1, 1)",1312,1249,1191,1136,1085,1037,992,950,910,873,837,804,772,742
"Z(0, 2, 0, 1, 1, 2)",8856,8573,8307,8057,7823,7602,7394,7196,7008,6829,6660,6498,6343,6195
"Z(0, 2, 0, 1, 2, 0)",515,488,462,438,416,395,376,358,341,325,310,296,283,271
"Z(0, 2, 0, 1, 2, 1)",403,380,359,339,321,304,288,274,260,247,235,223,213,203
"Z(0, 2, 0, 1, 2, 2)",1792,1730,1673,1620,1570,1523,1479,1438,1399,1362,1327,1294,1263,1233
"Z(0, 2, 0, 1, 3, 0)",938,895,854,816,781,748,717,688,660,635,610,587,565,544
"Z(0, 2, 0, 1, 3, 1)",392,373,354,337,322,307,293,280,268,257,246,236,226,217
"Z(0, 2, 0, 1, 3, 2)",9230,9018,8819,8632,8459,8297,8146,8003,7868,7741,7619,7504,7394,7291
"Z(0, 2, 1, 0, 0, 0)",1634,1577,1524,1474,1428,1385,1345,1307,1271,1238,1207,1177,1149,1122
"Z(0, 2, 1, 0, 0, 1)",595,566,539,514,491,469,449,430,412,395,379,365,351,337
"Z(0, 2, 1, 0, 0, 2)",4856,4686,4526,4376,4235,4102,3978,3859,3747,3641,3541,3445,3353,3266
"Z(0, 2, 1, 0, 1, 0)",974,932,892,856,822,790,760,733,706,682,659,637,617,597
"Z(0, 2, 1, 0, 1, 1)",1339,1276,1217,1162,1111,1063,1018,976,936,899,863,830,798,768
"Z(0, 2, 1, 0, 1, 2)",9615,9312,9027,8759,8507,8271,8047,7835,7633,7442,7260,7087,6921,6763
"Z(0, 2, 1, 0, 2, 0)",539,511,486,462,440,420,400,382,366,350,335,321,308,296
"Z(0, 2, 1, 0, 2, 1)",405,382,361,341,323,306,290,276,262,249,237,225,215,205
"Z(0, 2, 1, 0, 2, 2)",1849,1784,1723,1666,1612,1563,1516,1472,1430,1391,1354,1319,1285,1254
"Z(0, 2, 1, 0, 3, 0)",1112,1064,1020,979,940,904,870,838,808,780,753,728,703,680
"Z(0, 2, 1, 0, 3, 1)",401,381,363,346,330,315,301,288,276,264,253,243,233,224
"Z(0, 2, 1, 0, 3, 2)",8609,8404,8212,8032,7864,7706,7557,7417,7283,7157,7037,6923,6814,6711
"Z(0, 2, 1, 1, 0, 0)",1127,1072,1021,973,928,887,848,811,777,744,714,685,657,632
"Z(0, 2, 1, 1, 0, 1)",565,536,509,483,460,438,417,398,380,363,347,332,318,304
"Z(0, 2, 1, 1, 0, 2)",5691,5497,5316,5145,4985,4835,4693,4559,4431,4311,4196,4087,3982,3884
"Z(0, 2, 1, 1, 1, 0)",922,876,834,794,756,722,689,658,629,602,577,553,530,508
"Z(0, 2, 1, 1, 1, 1)",1336,1272,1212,1157,1104,1056,1010,967,926,888,852,818,785,754
"Z(0, 2, 1, 1, 1, 2)",11409,11063,10738,10432,10145,9875,9620,9378,9148,8930,8722,8524,8334,8154
"Z(0, 2, 1, 1, 2, 0)",588,558,530,504,479,457,435,416,397,379,363,347,332,319
"Z(0, 2, 1, 1, 2, 1)",411,388,367,347,328,311,295,280,266,253,241,229,218,208
"Z(0, 2, 1, 1, 2, 2)",2157,2084,2015,1952,1892,1836,1784,1734,1688,1644,1603,1563,1526,1491
"Z(0, 2, 1, 1, 3, 0)",1263,1210,1160,1113,1069,1028,990,954,919,887,856,827,799,773
