,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 0, 2, 1)",126324,27081,26005,25014,24093,23233,22433,21683,20980,20320,19702,19115,18557,18027,17523
"U(2, 0, 2, 2)",126324,9554,9153,8785,8445,8127,7833,7558,7301,7060,6835,6622,6420,6229,6048
"U(2, 0, 3, 0)",126324,74679,72447,70394,68490,66707,65054,63500,62045,60679,59402,58184,57022,55914,54855
"U(2, 0, 3, 1)",126324,13827,13264,12746,12266,11818,11402,11013,10650,10309,9990,9688,9401,9129,8871
"U(2, 0, 3, 2)",126324,18163,17596,17077,16598,16152,15740,15356,14998,14665,14355,14061,13783,13519,13269
"U(2, 1, 0, 0)",126324,36393,34864,33452,32140,30912,29769,28694,27687,26739,25849,25003,24199,23433,22703
"U(2, 1, 0, 1)",126324,192358,188076,184194,180642,177356,174362,171474,168816,166362,164118,162005,160020,158147,156308
"U(2, 1, 0, 2)",126324,84121,81312,78725,76324,74077,71991,70032,68198,66475,64863,63328,61868,60477,59151
"U(2, 1, 1, 0)",126324,47672,45774,44022,42392,40864,39443,38106,36852,35670,34562,33506,32501,31543,30629
"U(2, 1, 1, 1)",126324,269261,262489,256304,250604,245296,240419,235866,231641,227706,224071,220625,217363,214276,211348
"U(2, 1, 1, 2)",126324,157532,152597,148047,143817,139849,136163,132692,129435,126370,123497,120753,118134,115632,113238
"U(2, 1, 2, 0)",126324,144512,139789,135433,131384,127587,124058,120735,117619,114685,111934,109308,106803,104412,102124
"U(2, 1, 2, 1)",126324,350075,358169,364870,370399,374905,378676,381734,379283,374756,368297,362147,356299,350737,345435
"U(2, 1, 2, 2)",126324,86016,83425,81039,78823,76747,74820,73007,71309,69712,68217,66790,65428,64129,62885
"U(2, 1, 3, 0)",126324,358497,363700,368610,373224,377527,381681,385608,389394,393046,396644,400046,403287,406389,409359
"U(2, 1, 3, 1)",126324,367618,377760,386682,394566,401531,407853,413529,418715,423469,427920,431945,435612,438968,442037
