,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 1, 2, 2)",122542,78975,74789,70823,67066,63513,60150,56967,53962,51123,48442,45911,43522,41268,39141
"U(2, 1, 3, 0)",122542,84219,82503,80831,79200,77613,76064,74551,73080,71648,70253,68895,67573,66288,65036
"U(2, 1, 3, 1)",122542,88182,88279,88294,88237,88119,87945,87721,87458,87160,86831,86475,86095,85696,85278
"U(2, 1, 3, 2)",122542,79712,75929,72319,68881,65609,62496,59536,56726,54060,51530,49131,46855,44699,42655
"U(2, 2, 0, 0)",122542,85279,84056,82844,81640,80448,79264,78087,76924,75772,74632,73505,72391,71291,70204
"U(2, 2, 0, 1)",122542,85986,84960,83965,82996,82051,81123,80208,79311,78429,77560,76704,75860,75029,74209
"U(2, 2, 0, 2)",122542,91011,91519,91989,92422,92820,93208,93690,94138,94551,94929,95276,95593,95884,96147
"U(2, 2, 1, 0)",122542,83794,81955,80152,78382,76647,74944,73272,71635,70034,68466,66931,65430,63964,62530
"U(2, 2, 1, 1)",122542,85009,83576,82189,80845,79541,78270,77031,75826,74653,73509,72393,71305,70244,69208
"U(2, 2, 1, 2)",122542,87423,87089,86728,86343,85935,85502,85045,84572,84083,83579,83060,82530,81990,81439
"U(2, 2, 2, 0)",122542,81062,77763,74663,71737,68967,66335,63828,61441,59164,56988,54907,52916,51010,49183
"U(2, 2, 2, 1)",122542,81699,78725,75917,73255,70725,68311,66002,63795,61682,59655,57710,55842,54048,52322
"U(2, 2, 2, 2)",122542,82377,79819,77366,75007,72738,70549,68434,66394,64424,62520,60679,58898,57176,55509
"U(2, 2, 3, 0)",122542,81705,78774,75990,73340,70813,68397,66084,63871,61751,59718,57767,55895,54098,52371
"U(2, 2, 3, 1)",122542,82179,79492,76930,74479,72132,69878,67709,65625,63620,61688,59827,58032,56302,54633
"U(2, 2, 3, 2)",122542,81229,78060,75064,72220,69517,66938,64473,62118,59864,57705,55636,53650,51745,49916
"Z(0, 1, 0, 1, 0, 0)",122542,85070,83832,82585,81334,80233,79365,78494,77629,76771,75922,75084,74260,73454,72664
"Z(0, 1, 0, 1, 0, 1)",122542,90736,91112,91646,92300,92866,93347,93747,94077,94340,94541,94684,94773,94813,94806
"Z(0, 1, 0, 1, 0, 2)",122542,86299,85511,84712,83902,83086,82260,81425,80589,79751,78911,78072,77235,76402,75571
"Z(0, 1, 0, 1, 1, 0)",122542,87625,87444,87213,86934,86611,86242,85829,85381,84899,84386,83842,83272,82680,82064
"Z(0, 1, 0, 1, 1, 1)",122542,97785,98252,98758,99270,99748,100187,100587,100958,101387,101845,102272,102669,103038,103378
"Z(0, 1, 0, 1, 1, 2)",122542,91992,92440,92958,93430,93861,94246,94585,95003,95477,95910,96301,96655,96973,97254
"Z(0, 1, 0, 1, 2, 0)",122542,87179,86760,86315,85843,85347,84825,84278,83714,83131,82532,81917,81288,80649,79997
"Z(0, 1, 0, 1, 2, 1)",122542,100905,101425,101910,102361,102845,103338,103791,104216,104610,104975,105424,105869,106287,106677
"Z(0, 1, 0, 1, 2, 2)",122542,102659,103252,103807,104323,104802,105242,105642,106112,106573,107001,107396,107761,108098,108532
"Z(0, 1, 0, 1, 3, 0)",122542,91271,91752,92181,92560,92966,93509,93994,94431,94818,95157,95451,95701,95912,96082
"Z(0, 1, 0, 1, 3, 1)",122542,179591,180559,181486,182371,183220,184024,184800,185599,186366,187102,187807,188485,189148,189864
