,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 3, 1)",14389,14469,14547,14623,14698,14771,14842,14912,14980,15047,15112,15175,15237,15298
"Z(0, 1, 1, 0, 3, 2)",11482,11513,11540,11566,11590,11612,11632,11651,11667,11682,11695,11707,11716,11725
"Z(0, 1, 1, 1, 0, 0)",8526,8536,8545,8554,8561,8568,8575,8580,8586,8591,8595,8599,8603,8606
"Z(0, 1, 1, 1, 0, 1)",6018,5988,5958,5926,5894,5862,5829,5795,5761,5727,5693,5658,5623,5589
"Z(0, 1, 1, 1, 0, 2)",5468,5430,5393,5356,5319,5282,5246,5210,5174,5139,5104,5069,5034,5000
"Z(0, 1, 1, 1, 1, 0)",12548,12592,12633,12673,12710,12746,12780,12812,12842,12870,12897,12922,12946,12968
"Z(0, 1, 1, 1, 1, 1)",8115,8104,8094,8082,8070,8057,8044,8030,8016,8000,7985,7969,7952,7935
"Z(0, 1, 1, 1, 1, 2)",9735,9743,9750,9755,9759,9762,9764,9765,9765,9763,9761,9758,9753,9748
"Z(0, 1, 1, 1, 2, 0)",12860,12903,12944,12983,13021,13057,13090,13122,13152,13180,13207,13232,13255,13276
"Z(0, 1, 1, 1, 2, 1)",8668,8668,8666,8663,8659,8655,8649,8643,8636,8628,8619,8609,8599,8588
"Z(0, 1, 1, 1, 2, 2)",12364,12406,12447,12486,12524,12560,12595,12629,12661,12691,12720,12748,12774,12799
"Z(0, 1, 1, 1, 3, 0)",23315,23504,23691,23876,24057,24236,24412,24585,24756,24923,25088,25249,25408,25564
"Z(0, 1, 1, 1, 3, 1)",15843,15951,16058,16163,16266,16368,16469,16568,16666,16763,16858,16952,17045,17137
"Z(0, 1, 1, 1, 3, 2)",28290,28605,28918,29231,29543,29854,30163,30472,30779,31086,31391,31695,31998,32300
"Z(0, 2, 0, 1, 0, 0)",2721,2655,2590,2527,2466,2407,2350,2294,2239,2186,2135,2085,2037,1989
"Z(0, 2, 0, 1, 0, 1)",3702,3644,3587,3532,3479,3426,3375,3325,3277,3229,3183,3137,3093,3049
"Z(0, 2, 0, 1, 0, 2)",7622,7611,7599,7587,7575,7563,7551,7538,7525,7512,7499,7485,7471,7457
"Z(0, 2, 0, 1, 1, 0)",2746,2680,2614,2551,2489,2429,2370,2313,2257,2203,2150,2098,2048,1999
"Z(0, 2, 0, 1, 1, 1)",4369,4318,4267,4218,4169,4120,4073,4026,3979,3933,3888,3843,3799,3755
"Z(0, 2, 0, 1, 1, 2)",6707,6682,6657,6632,6606,6580,6554,6528,6501,6474,6448,6421,6393,6366
"Z(0, 2, 0, 1, 2, 0)",2760,2693,2628,2565,2503,2443,2384,2327,2271,2216,2163,2112,2061,2012
"Z(0, 2, 0, 1, 2, 1)",3718,3660,3604,3549,3495,3442,3391,3340,3290,3242,3194,3148,3102,3058
"Z(0, 2, 0, 1, 2, 2)",4527,4477,4428,4379,4331,4283,4236,4189,4142,4096,4051,4006,3961,3917
"Z(0, 2, 0, 1, 3, 0)",2491,2421,2354,2289,2226,2164,2105,2047,1991,1937,1884,1833,1783,1735
"Z(0, 2, 0, 1, 3, 1)",3210,3148,3087,3028,2971,2915,2861,2808,2756,2706,2657,2609,2562,2517
"Z(0, 2, 0, 1, 3, 2)",3493,3434,3377,3320,3265,3211,3159,3107,3057,3008,2960,2913,2868,2823
"Z(0, 2, 1, 0, 0, 0)",5032,4990,4948,4907,4865,4824,4783,4742,4702,4661,4621,4581,4541,4502
"Z(0, 2, 1, 0, 0, 1)",3885,3830,3776,3724,3674,3624,3576,3529,3483,3439,3395,3352,3310,3270
"Z(0, 2, 1, 0, 0, 2)",5949,5917,5885,5853,5821,5789,5757,5725,5694,5662,5631,5600,5568,5537
"Z(0, 2, 1, 0, 1, 0)",5173,5131,5087,5044,5000,4957,4913,4868,4824,4780,4735,4691,4647,4602
"Z(0, 2, 1, 0, 1, 1)",4605,4557,4511,4464,4419,4374,4329,4285,4242,4199,4157,4116,4075,4034
"Z(0, 2, 1, 0, 1, 2)",5414,5375,5336,5296,5257,5218,5179,5141,5102,5064,5026,4988,4950,4913
"Z(0, 2, 1, 0, 2, 0)",5161,5117,5074,5030,4986,4941,4897,4852,4807,4762,4717,4672,4628,4583
"Z(0, 2, 1, 0, 2, 1)",3916,3861,3808,3755,3704,3654,3605,3558,3511,3465,3420,3376,3333,3291
"Z(0, 2, 1, 0, 2, 2)",3868,3812,3757,3702,3649,3596,3545,3494,3444,3394,3346,3298,3250,3204
"Z(0, 2, 1, 0, 3, 0)",4338,4287,4237,4187,4138,4088,4039,3990,3941,3892,3844,3796,3749,3702
"Z(0, 2, 1, 0, 3, 1)",3352,3293,3234,3177,3122,3068,3016,2965,2915,2867,2819,2773,2728,2684
"Z(0, 2, 1, 0, 3, 2)",3089,3026,2965,2905,2847,2790,2735,2682,2629,2578,2529,2480,2433,2387
"Z(0, 2, 1, 1, 0, 0)",7543,7525,7504,7483,7460,7436,7411,7385,7358,7330,7301,7271,7241,7209
"Z(0, 2, 1, 1, 0, 1)",4077,4023,3971,3919,3870,3821,3774,3728,3683,3639,3596,3554,3513,3473
"Z(0, 2, 1, 1, 0, 2)",9408,9426,9444,9462,9480,9497,9515,9532,9549,9565,9582,9598,9615,9631
"Z(0, 2, 1, 1, 1, 0)",8483,8472,8460,8447,8431,8414,8396,8375,8354,8331,8307,8282,8255,8227
"Z(0, 2, 1, 1, 1, 1)",4921,4876,4833,4790,4748,4706,4665,4625,4585,4546,4507,4469,4431,4394
