,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 1, 1, 1)",768,754,741,727,714,701,689,677,666,656,646,636,626,617
"U(2, 1, 1, 2)",268,261,255,248,242,237,231,226,221,217,212,208,204,200
"U(2, 1, 2, 0)",47,46,45,43,42,41,40,39,38,37,36,35,34,33
"U(2, 1, 2, 1)",317,310,304,299,293,288,283,279,274,270,266,262,258,255
"U(2, 1, 2, 2)",82,79,76,74,72,69,67,65,64,62,60,59,57,56
"U(2, 1, 3, 0)",57,56,54,53,52,50,49,48,47,46,45,44,43,42
"U(2, 1, 3, 1)",397,390,384,378,372,367,362,358,353,349,345,342,338,335
"U(2, 1, 3, 2)",206,201,197,192,189,185,182,178,175,172,170,167,165,162
"U(2, 2, 0, 0)",41,40,38,37,36,35,33,32,31,30,30,29,28,27
"U(2, 2, 0, 1)",79,77,75,73,71,69,67,66,64,63,61,60,59,57
"U(2, 2, 0, 2)",2673,2615,2559,2507,2457,2410,2365,2321,2280,2241,2203,2166,2131,2097
"U(2, 2, 1, 0)",21,21,20,19,18,18,17,16,16,15,15,14,14,13
"U(2, 2, 1, 1)",64,62,60,59,57,56,54,53,52,51,49,48,47,46
"U(2, 2, 1, 2)",1083,1052,1023,995,969,944,920,898,876,855,835,816,798,780
"U(2, 2, 2, 0)",7,6,6,6,6,5,5,5,5,5,4,4,4,4
"U(2, 2, 2, 1)",13,12,12,11,11,11,10,10,10,9,9,9,9,8
"U(2, 2, 2, 2)",118,112,107,103,98,94,90,86,83,80,76,73,70,68
"U(2, 2, 3, 0)",16,15,15,14,14,14,13,13,12,12,12,11,11,11
"U(2, 2, 3, 1)",17,16,15,15,15,14,14,13,13,13,12,12,12,11
"U(2, 2, 3, 2)",66,63,60,57,54,52,50,47,45,43,42,40,38,37
"Z(0, 1, 0, 1, 0, 0)",7884,7756,7639,7532,7436,7338,7240,7150,7068,6994,6926,6850,6771,6699
"Z(0, 1, 0, 1, 0, 1)",9178,9026,8885,8753,8631,8515,8408,8308,8214,8120,8030,7944,7863,7786
"Z(0, 1, 0, 1, 0, 2)",4424,4327,4236,4150,4069,3993,3920,3852,3787,3725,3666,3610,3556,3504
"Z(0, 1, 0, 1, 1, 0)",6871,6757,6651,6552,6462,6377,6299,6225,6150,6080,6014,5953,5895,5839
"Z(0, 1, 0, 1, 1, 1)",12225,11968,11726,11496,11281,11076,10882,10698,10523,10356,10197,10044,9897,9756
"Z(0, 1, 0, 1, 1, 2)",8751,8543,8347,8161,7986,7819,7661,7510,7366,7228,7097,6971,6849,6731
"Z(0, 1, 0, 1, 2, 0)",4216,4124,4038,3957,3882,3811,3745,3682,3623,3568,3515,3466,3418,3373
"Z(0, 1, 0, 1, 2, 1)",13005,12718,12447,12189,11947,11714,11494,11283,11083,10890,10706,10528,10356,10190
"Z(0, 1, 0, 1, 2, 2)",12497,12202,11923,11658,11408,11168,10940,10722,10514,10314,10122,9937,9758,9586
"Z(0, 1, 0, 1, 3, 0)",6900,6715,6541,6375,6219,6070,5929,5795,5666,5543,5426,5314,5205,5101
"Z(0, 1, 0, 1, 3, 1)",17713,17852,17985,18113,18240,18359,18476,18589,18698,18803,18906,19004,19096,19185
"Z(0, 1, 0, 1, 3, 2)",17977,18199,18414,18621,18825,19020,19210,19396,19576,19751,19921,20085,20242,20394
"Z(0, 1, 1, 0, 0, 0)",15270,15034,14807,14582,14375,14183,14007,13846,13698,13543,13386,13239,13102,12975
"Z(0, 1, 1, 0, 0, 1)",11231,11057,10883,10721,10572,10431,10300,10178,10061,9944,9836,9733,9635,9544
"Z(0, 1, 1, 0, 0, 2)",2865,2795,2730,2668,2609,2554,2502,2452,2405,2361,2318,2278,2239,2201
"Z(0, 1, 1, 0, 1, 0)",16930,16844,16760,16678,16599,16518,16439,16360,16282,16202,16124,16043,15960,15877
"Z(0, 1, 1, 0, 1, 1)",14703,14437,14186,13950,13731,13521,13325,13139,12964,12797,12639,12488,12343,12206
"Z(0, 1, 1, 0, 1, 2)",5984,5831,5687,5550,5422,5299,5182,5071,4966,4865,4768,4676,4587,4501
