,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 0, 1, 1, 1)",1951,1869,1794,1724,1659,1598,1541,1487,1437,1389,1344,1301,1260,1221
"Z(0, 1, 0, 1, 1, 2)",6124,5911,5714,5531,5359,5198,5047,4905,4771,4645,4524,4409,4299,4193
"Z(0, 1, 0, 1, 2, 0)",6994,6752,6529,6321,6127,5945,5774,5614,5462,5320,5184,5055,4931,4813
"Z(0, 1, 0, 1, 2, 1)",2361,2264,2175,2091,2014,1941,1873,1809,1749,1692,1639,1587,1539,1492
"Z(0, 1, 0, 1, 2, 2)",7945,7675,7425,7193,6974,6771,6580,6400,6231,6071,5919,5774,5635,5502
"Z(0, 1, 0, 1, 3, 0)",15779,15313,14883,14483,14108,13760,13431,13123,12833,12561,12300,12052,11814,11586
"Z(0, 1, 0, 1, 3, 1)",5119,4935,4765,4606,4458,4320,4190,4067,3952,3844,3741,3643,3549,3460
"Z(0, 1, 0, 1, 3, 2)",19478,20088,20571,20958,21267,21519,21720,21588,21323,20980,20595,20227,19875,19538
"Z(0, 1, 1, 0, 0, 0)",18118,17910,17717,17538,17372,17225,17094,16981,16887,16815,16759,16720,16699,16696
"Z(0, 1, 1, 0, 0, 1)",8616,8427,8259,8110,7957,7814,7685,7570,7467,7377,7278,7177,7085,7001
"Z(0, 1, 1, 0, 0, 2)",6612,6409,6222,6049,5886,5736,5594,5461,5337,5220,5109,5003,4902,4806
"Z(0, 1, 1, 0, 1, 0)",18714,18703,18697,18692,18685,18683,18680,18679,18681,18687,18691,18694,18697,18699
"Z(0, 1, 1, 0, 1, 1)",6146,6004,5878,5764,5660,5567,5478,5390,5311,5239,5173,5113,5058,4994
"Z(0, 1, 1, 0, 1, 2)",9880,9590,9322,9074,8841,8625,8422,8231,8052,7885,7725,7572,7427,7287
"Z(0, 1, 1, 0, 2, 0)",18470,18367,18276,18194,18115,18047,17983,17925,17873,17828,17784,17741,17699,17658
"Z(0, 1, 1, 0, 2, 1)",4765,4658,4562,4474,4395,4323,4249,4181,4119,4064,4012,3964,3919,3872
"Z(0, 1, 1, 0, 2, 2)",11781,11426,11099,10795,10511,10246,9998,9765,9546,9340,9145,8958,8779,8608
"Z(0, 1, 1, 0, 3, 0)",19473,19689,19903,20113,20316,20519,20718,20916,21113,21312,21504,21693,21877,22058
"Z(0, 1, 1, 0, 3, 1)",8801,8583,8386,8205,8037,7885,7743,7612,7492,7382,7278,7181,7090,7005
"Z(0, 1, 1, 0, 3, 2)",20333,21116,21764,22306,22763,23157,23494,23787,24042,24269,24463,24629,24771,24893
"Z(0, 1, 1, 1, 0, 0)",10942,10604,10293,10004,9733,9482,9246,9025,8817,8622,8436,8259,8090,7929
"Z(0, 1, 1, 1, 0, 1)",2347,2257,2173,2096,2024,1957,1894,1835,1779,1728,1679,1632,1588,1545
"Z(0, 1, 1, 1, 0, 2)",7964,7722,7500,7293,7099,6920,6750,6592,6443,6303,6169,6042,5920,5804
"Z(0, 1, 1, 1, 1, 0)",18832,18802,18782,18767,18753,18746,18740,18545,18257,17989,17717,17364,17026,16702
"Z(0, 1, 1, 1, 1, 1)",3192,3082,2981,2887,2799,2717,2640,2567,2499,2436,2375,2317,2261,2209
"Z(0, 1, 1, 1, 1, 2)",11551,11218,10912,10628,10362,10114,9881,9663,9457,9265,9081,8906,8738,8577
