,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 1, 3, 2)",126324,301753,303649,305365,306930,308364,309682,310896,312016,313049,314003,314882,315693,316439,317125
"Z(0, 2, 0, 1, 0, 0)",126324,49524,48229,46979,45773,44608,43481,42392,41338,40317,39328,38369,37440,36539,35665
"Z(0, 2, 0, 1, 0, 1)",126324,36026,34508,33088,31753,30496,29308,28183,27116,26102,25138,24220,23345,22511,21714
"Z(0, 2, 0, 1, 0, 2)",126324,56918,55692,54504,53352,52235,51150,50097,49074,48079,47111,46168,45251,44358,43487
"Z(0, 2, 0, 1, 1, 0)",126324,47511,46200,44937,43719,42543,41409,40313,39254,38231,37241,36284,35357,34460,33592
"Z(0, 2, 0, 1, 1, 1)",126324,48733,47433,46177,44962,43786,42647,41544,40475,39438,38432,37455,36508,35588,34694
"Z(0, 2, 0, 1, 1, 2)",126324,71221,70154,69102,68065,67043,66036,65043,64066,63102,62153,61218,60296,59389,58495
"Z(0, 2, 0, 1, 2, 0)",126324,53834,52585,51378,50213,49086,47996,46941,45919,44929,43969,43038,42135,41258,40407
"Z(0, 2, 0, 1, 2, 1)",126324,35776,34244,32816,31478,30221,29035,27915,26854,25849,24894,23987,23123,22301,21517
"Z(0, 2, 0, 1, 2, 2)",126324,41600,40173,38826,37551,36342,35195,34103,33063,32072,31126,30223,29360,28533,27742
"Z(0, 2, 0, 1, 3, 0)",126324,47450,46140,44886,43684,42531,41426,40365,39345,38366,37424,36518,35647,34807,33999
"Z(0, 2, 0, 1, 3, 1)",126324,32765,31223,29782,28430,27160,25963,24833,23766,22756,21799,20892,20031,19214,18438
"Z(0, 2, 0, 1, 3, 2)",126324,27432,25680,24102,22669,21359,20158,19053,18034,17092,16220,15412,14662,13966,13319
"Z(0, 2, 1, 0, 0, 0)",126324,111704,111654,111644,111674,111741,111845,111984,112158,112365,112605,112877,113181,113515,113880
"Z(0, 2, 1, 0, 0, 1)",126324,39236,37788,36438,35174,33987,32869,31815,30820,29878,28986,28141,27339,26578,25855
"Z(0, 2, 1, 0, 0, 2)",126324,81022,80052,79104,78177,77271,76383,75514,74662,73826,73006,72200,71409,70632,69868
"Z(0, 2, 1, 0, 1, 0)",126324,75764,74903,74075,73277,72509,71769,71057,70372,69714,69080,68471,67886,67325,66787
"Z(0, 2, 1, 0, 1, 1)",126324,51821,50571,49363,48196,47067,45974,44917,43893,42900,41938,41006,40102,39225,38374
"Z(0, 2, 1, 0, 1, 2)",126324,112338,111701,111062,110419,109774,109127,108478,107827,107175,106521,105866,105210,104554,103897
"Z(0, 2, 1, 0, 2, 0)",126324,87290,86553,85843,85161,84505,83874,83268,82685,82125,81587,81071,80576,80101,79647
"Z(0, 2, 1, 0, 2, 1)",126324,37546,36044,34645,33335,32105,30947,29854,28821,27842,26914,26034,25197,24401,23643
"Z(0, 2, 1, 0, 2, 2)",126324,48640,47306,46040,44834,43684,42586,41536,40530,39565,38639,37750,36895,36073,35281
"Z(0, 2, 1, 0, 3, 0)",126324,72853,71925,71036,70184,69367,68584,67833,67112,66422,65759,65124,64516,63933,63375
"Z(0, 2, 1, 0, 3, 1)",126324,34055,32532,31109,29776,28523,27342,26229,25177,24183,23241,22348,21501,20698,19935
"Z(0, 2, 1, 0, 3, 2)",126324,28429,26696,25136,23719,22425,21238,20146,19139,18209,17348,16550,15811,15124,14486
"Z(0, 2, 1, 1, 0, 0)",126324,83025,82060,81111,80177,79256,78348,77454,76571,75700,74841,73992,73154,72326,71508
"Z(0, 2, 1, 1, 0, 1)",126324,37973,36475,35074,33757,32516,31343,30233,29179,28178,27225,26318,25453,24627,23839
"Z(0, 2, 1, 1, 0, 2)",126324,92412,91566,90735,89918,89113,88321,87540,86769,86010,85260,84520,83789,83066,82353
"Z(0, 2, 1, 1, 1, 0)",126324,79479,78505,77548,76607,75683,74774,73880,73000,72135,71283,70445,69619,68806,68006
"Z(0, 2, 1, 1, 1, 1)",126324,52290,51027,49806,48625,47480,46370,45295,44251,43238,42255,41300,40372,39470,38593
"Z(0, 2, 1, 1, 1, 2)",126324,135822,135440,135045,134640,134223,133796,133358,132911,132454,131988,131514,131030,130539,130040
"Z(0, 2, 1, 1, 2, 0)",126324,95749,94980,94224,93481,92751,92033,91326,90629,89944,89268,88603,87947,87300,86662
"Z(0, 2, 1, 1, 2, 1)",126324,37928,36424,35022,33709,32475,31313,30215,29176,28192,27258,26370,25526,24722,23956
"Z(0, 2, 1, 1, 2, 2)",126324,52048,50758,49529,48355,47231,46154,45120,44126,43170,42249,41362,40507,39681,38884
"Z(0, 2, 1, 1, 3, 0)",126324,82502,81666,80858,80076,79320,78588,77880,77194,76529,75886,75262,74658,74072,73505
"Z(0, 2, 1, 1, 3, 1)",126324,34510,32992,31574,30245,28995,27819,26709,25660,24668,23729,22838,21993,21192,20430
"Z(0, 2, 1, 1, 3, 2)",126324,28879,27156,25604,24195,22907,21725,20638,19635,18708,17850,17055,16318,15633,14997
"Z(1, 0, 0, 1, 0, 0)",126324,56155,54975,53810,52662,51530,50416,49320,48241,47181,46140,45117,44112,43127,42160
"Z(1, 0, 0, 1, 0, 1)",126324,65606,64672,63684,62656,61599,60521,59429,58327,57220,56113,55007,53906,52811,51725
"Z(1, 0, 0, 1, 0, 2)",126324,68587,67499,66434,65392,64371,63372,62394,61436,60497,59578,58677,57794,56929,56081
"Z(1, 0, 0, 1, 1, 0)",126324,95322,94534,93699,92824,91912,90970,90000,89006,87992,86960,85913,84853,83782,82702
"Z(1, 0, 0, 1, 1, 1)",126324,63785,62599,61443,60315,59213,58136,57082,56050,55039,54048,53076,52122,51186,50267
"Z(1, 0, 0, 1, 1, 2)",126324,97265,96445,95621,94793,93963,93131,92298,91463,90627,89791,88955,88120,87286,86452
"Z(1, 0, 0, 1, 2, 0)",126324,85008,84015,83036,82071,81118,80176,79245,78325,77415,76513,75621,74738,73862,72995
"Z(1, 0, 0, 1, 2, 1)",126324,56582,55357,54166,53010,51885,50792,49729,48694,47686,46706,45751,44820,43914,43030
"Z(1, 0, 0, 1, 2, 2)",126324,131942,131529,131045,130498,129895,129240,128540,127799,127020,126207,125364,124493,123598,122679
"Z(1, 0, 0, 1, 3, 0)",126324,103846,103093,102338,101581,100823,100064,99304,98543,97783,97022,96262,95502,94743,93985
"Z(1, 0, 0, 1, 3, 1)",126324,80654,79688,78722,77757,76795,75836,74882,73933,72989,72051,71120,70196,69279,68369
"Z(1, 0, 0, 1, 3, 2)",126324,242939,243768,244533,245236,245880,246468,247003,247486,247919,248304,248644,248939,249191,249401
"Z(1, 0, 1, 0, 0, 0)",126324,76656,75737,74829,73931,73044,72169,71306,70456,69619,68796,67986,67189,66407,65638
"Z(1, 0, 1, 0, 0, 1)",126324,89214,88833,88405,87943,87458,86959,86451,85941,85431,84927,84431,83945,83472,83013
"Z(1, 0, 1, 0, 0, 2)",126324,83593,82695,81818,80959,80119,79298,78494,77707,76937,76183,75445,74721,74012,73318
"Z(1, 0, 1, 0, 1, 0)",126324,125628,125150,124620,124044,123426,122771,122082,121362,120614,119841,119044,118228,117392,116540
"Z(1, 0, 1, 0, 1, 1)",126324,71259,70242,69257,68301,67373,66471,65594,64741,63911,63102,62314,61546,60798,60068
"Z(1, 0, 1, 0, 1, 2)",126324,118106,117545,116977,116402,115820,115233,114640,114043,113440,112834,112224,111610,110993,110374
"Z(1, 0, 1, 0, 2, 0)",126324,112109,111421,110740,110064,109394,108729,108067,107409,106754,106101,105451,104803,104156,103511
"Z(1, 0, 1, 0, 2, 1)",126324,60035,58869,57738,56641,55575,54540,53535,52558,51609,50686,49789,48916,48067,47241
"Z(1, 0, 1, 0, 2, 2)",126324,158009,157884,157686,157422,157098,156719,156291,155817,155301,154746,154155,153532,152878,152196
"Z(1, 0, 1, 0, 3, 0)",126324,142766,142505,142236,141958,141671,141377,141075,140765,140448,140123,139792,139454,139110,138759
"Z(1, 0, 1, 0, 3, 1)",126324,86215,85327,84438,83550,82664,81780,80901,80026,79155,78290,77431,76578,75732,74893
"Z(1, 0, 1, 0, 3, 2)",126324,310908,312779,314587,316336,318029,319666,321250,322782,324264,325698,327085,328425,329720,330971
"Z(1, 0, 1, 1, 0, 0)",126324,74070,73031,71997,70969,69947,68933,67926,66927,65937,64955,63983,63021,62068,61125
"Z(1, 0, 1, 1, 0, 1)",126324,68770,67863,66902,65900,64867,63812,62742,61661,60575,59486,58398,57313,56233,55161
"Z(1, 0, 1, 1, 0, 2)",126324,90550,89726,88919,88129,87357,86600,85859,85133,84421,83723,83039,82368,81709,81063
"Z(1, 0, 1, 1, 1, 0)",126324,133895,133429,132908,132336,131718,131059,130360,129626,128860,128063,127238,126387,125513,124617
"Z(1, 0, 1, 1, 1, 1)",126324,67842,66697,65580,64490,63425,62383,61363,60364,59384,58423,57479,56553,55643,54749
"Z(1, 0, 1, 1, 1, 2)",126324,127943,127494,127036,126568,126091,125607,125114,124615,124108,123595,123075,122549,122018,121482
"Z(1, 0, 1, 1, 2, 0)",126324,121863,121255,120651,120048,119447,118846,118244,117643,117040,116437,115831,115224,114615,114003
"Z(1, 0, 1, 1, 2, 1)",126324,60344,59164,58016,56901,55817,54762,53736,52738,51765,50818,49896,48997,48121,47267
