,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 1, 3, 0)",122542,48572,47310,46116,44984,43916,42894,41925,41000,40116,39269,38460,37678,36924,36198
"U(2, 1, 3, 1)",122542,151459,148910,146519,144278,142194,140211,138359,136612,134965,133399,131926,130515,129162,127875
"U(2, 1, 3, 2)",122542,10289,10057,9838,9634,9442,9261,9091,8931,8779,8635,8499,8369,8245,8127
"U(2, 2, 0, 0)",122542,35001,33794,32652,31571,30550,29574,28650,27769,26929,26125,25357,24620,23910,23230
"U(2, 2, 0, 1)",122542,66828,64997,63263,61620,60069,58585,57178,55835,54553,53324,52150,51018,49926,48876
"U(2, 2, 0, 2)",122542,195828,191541,187479,183628,179997,176512,173208,170053,167037,164139,161370,158691,156098,153598
"U(2, 2, 1, 0)",122542,18479,17772,17105,16475,15881,15316,14781,14272,13788,13326,12887,12466,12062,11676
"U(2, 2, 1, 1)",122542,54222,52704,51265,49903,48616,47384,46216,45101,44037,43016,42041,41101,40195,39322
"U(2, 2, 1, 2)",122542,79318,77070,74939,72918,71008,69178,67440,65780,64194,62671,61215,59809,58453,57147
"U(2, 2, 2, 0)",122542,6156,5895,5649,5419,5202,4997,4804,4621,4448,4283,4127,3979,3837,3702
"U(2, 2, 2, 1)",122542,11152,10769,10408,10069,9750,9447,9161,8891,8634,8390,8158,7936,7724,7522
"U(2, 2, 2, 2)",122542,8660,8270,7904,7559,7235,6928,6639,6365,6105,5859,5625,5403,5190,4988
"U(2, 2, 3, 0)",122542,13864,13409,12979,12573,12190,11826,11481,11153,10841,10543,10259,9986,9724,9473
"U(2, 2, 3, 1)",122542,14347,13893,13466,13065,12688,12330,11993,11673,11371,11083,10810,10549,10300,10062
"U(2, 2, 3, 2)",122542,4864,4631,4413,4209,4017,3836,3666,3506,3355,3212,3076,2948,2826,2710
"Z(0, 1, 0, 1, 0, 0)",122542,143629,141295,139164,137223,135477,133691,131900,130264,128774,127410,126180,124790,123359,122046
"Z(0, 1, 0, 1, 0, 1)",122542,167205,164440,161859,159454,157231,155130,153180,151356,149649,147924,146284,144724,143242,141843
