,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 0, 1, 1)",221677,108149,106170,104252,102395,100595,98851,97161,95522,93934,92394,90901,89453,88050,86689
"U(2, 0, 1, 2)",221677,133973,132145,130341,128561,126806,125074,123366,121681,120019,118379,116762,115168,113595,112044
"U(2, 0, 2, 0)",221677,94318,92112,89962,87867,85826,83837,81899,80010,78170,76376,74627,72923,71262,69643
"U(2, 0, 2, 1)",221677,72770,70205,67779,65478,63292,61210,59225,57329,55516,53782,52120,50528,49000,47535
"U(2, 0, 2, 2)",221677,68676,66065,63593,61249,59020,56898,54875,52944,51099,49335,47647,46030,44481,42995
"U(2, 0, 3, 0)",221677,69748,67235,64843,62563,60389,58313,56331,54437,52626,50893,49236,47649,46130,44676
"U(2, 0, 3, 1)",221677,76078,73626,71270,69003,66822,64721,62696,60743,58860,57043,55288,53594,51957,50375
"U(2, 0, 3, 2)",221677,79626,77231,74925,72704,70563,68499,66507,64585,62730,60939,59208,57536,55921,54359
"U(2, 1, 0, 0)",221677,183766,183111,182460,181816,181183,180563,179960,179374,178808,178263,177741,177242,176768,176319
"U(2, 1, 0, 1)",221677,164447,163300,162033,160671,159232,157732,156182,154593,152972,151328,149665,147989,146304,144615
"U(2, 1, 0, 2)",221677,193163,192008,190794,189526,188210,186851,185454,184022,182560,181070,179555,178020,176465,174895
"U(2, 1, 1, 0)",221677,125704,124044,122435,120878,119372,117917,116512,115155,113845,112580,111360,110182,109046,107951
"U(2, 1, 1, 1)",221677,318772,319188,319521,319776,319956,320068,320114,320098,320024,319895,319715,319487,319213,318896
"U(2, 1, 1, 2)",221677,295865,295750,295553,295278,294929,294511,294026,293479,292872,292208,291491,290722,289904,289040
"U(2, 1, 2, 0)",221677,165541,164232,162838,161373,159845,158265,156639,154974,153278,151554,149808,148044,146266,144478
"U(2, 1, 2, 1)",221677,206079,205308,204496,203660,202809,201949,201085,200221,199359,198500,197646,196798,195957,195122
"U(2, 1, 2, 2)",221677,159549,158152,156743,155334,153934,152546,151175,149822,148488,147174,145880,144608,143355,142123
"U(2, 1, 3, 0)",221677,186992,185857,184672,183446,182187,180902,179596,178273,176935,175586,174228,172863,171494,170121
"U(2, 1, 3, 1)",221677,289650,289794,289756,289560,289223,288762,288191,287520,286759,285917,285001,284018,282974,281874
"U(2, 1, 3, 2)",221677,204198,203515,202698,201769,200748,199650,198488,197271,196009,194708,193375,192015,190633,189235
"U(2, 2, 0, 0)",221677,97580,95406,93306,91279,89319,87423,85589,83813,82092,80425,78809,77243,75723,74249
"U(2, 2, 0, 1)",221677,78370,75823,73430,71172,69035,67007,65078,63241,61488,59814,58213,56681,55214,53807
"U(2, 2, 0, 2)",221677,76934,74482,72138,69894,67745,65685,63710,61815,59995,58248,56570,54956,53405,51913
